นิติบุคคลจัดตั้งเดือนมิถุนายน  2559,,,,,,,,,
ทั่วประเทศ,,,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่,,
11,0107559000311,บมจ.ซีลิค คอร์พ จำกัด (มหาชน),21/6/2559," 140,000,000 ",20113,ประกอบกิจการโรงงานผลิต และขายส่งเคมีภัณฑ์และเคมีภัณฑ์ขั้นมูลฐานทางอุตสาหกรรม ผลิตภัณฑ์เคมีชีวภาพ,270 ถนนเลียบคลองภาษีเจริญฝั่งใต้  แขวงหนองแขม เขตหนองแขม กรุงเทพมหานคร 10160,,
12,0105559085536,บจ.โทเร ไฮบริด คอร์ด (ประเทศไทย) จำกัด,6/6/2559," 120,000,000 ",22299,ประกอบกิจการผลิต ผลิตภัณฑ์ไพเบอร์คอร์ที่ทำจากเส้นใยเดี่ยว เส้นใยพลาสติก,1213/88-89 ศรีวราทาวน์อินทาวน์ ซอยลาดพร้าว 94 ถนนลาดพร้าว  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310,,
13,0105559084238,บจ.สามมิตร สมาร์ท โมบิลลิตี้ จำกัด,2/6/2559," 100,000,000 ",49329,การขนส่งผู้โดยสารโดยรถยนต์รับจ้าง/แท็กซี่,703 ถนนเพชรเกษม  แขวงบางหว้า เขตภาษีเจริญ กรุงเทพมหานคร 10160,,
14,0105559088896,บจ.ไทยกว๋างเขิ่นรับเบอร์ จำกัด,10/6/2559," 100,000,000 ",46693,การซื้อ ขาย ผลิตภัณฑ์จากยางธรรมชาติ ทั้งภายในและต่างประเทศ,238/1 ซอยรัชดาภิเษก 18 ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
15,0107559000281,บมจ.เดนทัล คอร์ปอเรชั่น จำกัด (มหาชน),15/6/2559," 100,000,000 ",86203,ประกอบกิจการด้านการรักษาทันตกรรมทั่วไป,157 ชั้นที่ 2 ถนนรัชดาภิเษก  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400,,
16,0105559095639,บจ.เอกชัย แคปปิตอล จำกัด,22/6/2559," 100,000,000 ",68101,ซื้อ ขาย โอน จำนอง ทรัพย์สินต่างๆทั้งสังหาริมทรัพย์และอสังหาริมทรัพย์,98 อาคารสาทร สแควร์ ห้องเลขที่ เอส-01 ชั้นที่ 37 ถนนสาทรเหนือ  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,,
17,0105559085340,บจ.ทีพีเอ็น ฟู้ด แพคเกจจิ้ง จำกัด,6/6/2559," 80,000,000 ",22220,ประกอบกิจการผลิต บรรจุภัณฑ์ ทุกชนิด เช่นบรรจุภัณฑ์พลาสติก บรรจุภัณฑ์กระดาษ,91/13-14-15 ซอยสุขุมวิท 54 ถนนสุขุมวิท  แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260,,
18,0107559000273,บมจ.โคแมนชี่ อินเตอร์เนชั่นแนล จำกัด (มหาชน),10/6/2559," 67,000,000 ",26201,ประกอบกิจการผลิต ซื้อ ขาย เครื่องคอมพิวเตอร์ และโปรแกรมคอมพิวเตอร์ รวมทั้งจัดทำและพัฒนา บำรุงรักษา,252/118 อาคารสำนักงานเมืองไทย-ภัทร 2 ชั้นที่ 23 ห้องเลขที่ อี-เอฟ ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
19,0105559094896,บจ.มหานคร ออโต้ กรุ๊ป จำกัด,21/6/2559," 45,000,000 ",45101,การขายส่งการขายปลีกการซ่อมแซมยานยนต์,89 หมู่ที่ 8 ถนนสุวินทวงศ์  แขวงโคกแฝด เขตหนองจอก กรุงเทพมหานคร 10530,,
20,0105559092729,บจ.วิสนี กรุ๊ป จำกัด,16/6/2559," 40,000,000 ",86201,ประกอบกิจการคลีนิกหรือสถาบันเสริมความงาม ดรงพยาบาลเอกชน สถานพยาบาล,2/44-46 ซอยสุขุมวิท 42  แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110,,
21,0105559097861,บจ.ปู่เจ้า คอนเทนเนอร์ เทอร์มินอล จำกัด,27/6/2559," 30,000,000 ",52241,ให้บริการท่าเรือเพื่อขนถ่ายสินค้าและตู้คอนเทนเนอร์ในและระหว่างประเทศ ดูแลเก็บรักษาสินค้าและตู้สินค้า,127/35 อาคารปัญจธานีทาวเวอร์ ชั้น 30 ถนนนนทรี (รัชดาภิเษก)  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,,
22,0105559093415,บจ.ชีวาล เวนเจอร์ จำกัด,17/6/2559," 30,000,000 ",70209,ประกอบกิจการธุรกิจบริการรับเป็นที่ปรึกษาและให้คำแนะนำเกี่ยวกับด้านบริหารงานพาณิชยกรรม,89/1 ซอยรัชฏภัณฑ์ ถนนราชปรารภ  แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร 10400,,
23,0105559087008,บจ.จัสมิน โฮลดิ้งส์ จำกัด,8/6/2559," 29,228,000 ",64202,เข้าเป็นหุ้นส่วนจำกัดความรับผิดในห้างหุ้นส่วนจำกัดหรือ เข้าเป็นผู้ถือหุ้นในบริษัทเอกชนและบริษัทมหาชน,999/9 อาคารดิ ออฟฟิศเศส แอท เซ็นทรัลเวิลด์ ชั้น 29 ห้อง 2982 จี ถนนพระราม 1  แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330,,
24,0105559099626,บจ.วิจิตรปาเก้ จำกัด,29/6/2559," 20,700,000 ",16210,ผลิตและจำหน่ายไม้ปาร์เก้ ไม้โมเสด ไม้แปรรูป วงกบประตู หน้าต่าง บานประตู และรับปูปาร์เก้,141 ถนนลูกหลวง  แขวงสวนจิตรลดา เขตดุสิต กรุงเทพมหานคร 10300,,
25,0107559000354,บมจ.เอซีเอ็มเทรดดิ้ง จำกัด (มหาชน),24/6/2559," 20,000,000 ",46443,ประกอบกิจการค้าและจัดจำหน่ายเครื่องสำอางค์ อุปกรณ์และเครื่องมือเครื่องใช้เสริมความงาม,346/136  ซอยเสือใหญ่อุทิศ ถนนรัชดาภิเษก แขวงจันทรเกษม เขตจตุจักร กรุงเทพมหานคร 10900,,
26,0105559083754,บจ.เซาท์เทิร์น ดีพ ซี พอร์ต จำกัด,2/6/2559," 20,000,000 ",50219,ประกอบกิจการ ก่อตั้งสายการเดินเรือ ให้บริการขนส่งคนโดยสารและสินค้า,82/99 ซอยนวลน้อย  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
27,0105559089264,บจ.บูทิค นอร์ธ ทรี จำกัด,10/6/2559," 20,000,000 ",55101,ประกอบกิจการโรงแรม ภัตตาคาร ไนท์คลับ,170/67 อาคารโอเชี่ยนทาวเวอร์ 1 ชั้นที่ 21 ซอยสุขุมวิท 16 (สามมิตร) ถนนรัชดาภิเษก  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,,
28,0105559089353,บจ.บูทิค นอร์ธ ทู จำกัด,10/6/2559," 20,000,000 ",55101,ประกอบกิจการโรงแรม ภัตตาคาร บาร์ ไนท์คลับ,170/67 อาคารโอเชี่ยนทาวเวอร์ 1 ชั้นที่ 21 ซอยสุขุมวิท 16 (สามมิตร) ถนนรัชดาภิเษก  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,,
29,0105559096546,บจ.ระยอง คลีน เอ็นเนอร์ยี่ จำกัด,23/6/2559," 20,000,000 ",35101,การผลิตและการส่งไฟฟ่้า,1 อาคารเอ็มไพร์ ทาวเวอร์ ชั้น 38 - พาร์ค วิง ถนนสาทรใต้  แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120,,
30,0105559089892,บจ.ซิตี้ พลัส ลิฟวิ่ง จำกัด,13/6/2559," 20,000,000 ",68102,ประกอบกิจการค้าอสังหาริมทรัพย์,42/8 ซอยอินทามระ 1 ถนนสุทธิสารวินิจฉัย  แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,,
31,0105559096210,บจ.แอลเอ็น สยาม จำกัด,23/6/2559," 15,000,000 ",24102,ประกอบกิจการอุตสาหกรรม ผลิต และทำขึ้นแผ่นเหล็กที่ใช้ในอุตสาหกรรม,102 ถนนณ ระนอง  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,,
32,0105559087458,บจ.จรัสจินดา จำกัด,9/6/2559," 15,000,000 ",41002,ประกอบกิจการปลูกสร้าง,2 ซอยท่าข้าม 5  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150,,
33,0105559086923,บจ.เอส ดับบลิว พี เซอร์วิสเซส จำกัด,8/6/2559," 15,000,000 ",70209,ประกอบกิจการให้บริการโดยเป็นที่ปรึกษาให้กับธุรกิจการค้าในต่างประเทศ ที่จะเข้ามาลงทุนด้านการเงิน,33/4 อาคารเดอะไนน์ ทาวเวอร์ แกรนด์ พระราม 9 บี ชั้น 15 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
34,0105559086320,บจ.ซูชิโอ จำกัด,7/6/2559," 12,000,000 ",56101,ประกอบกิจการขายอาหาร เครื่องดื่ม สุรา ยาสูบ,518/5 อาคารมณียาเซ็นเตอร์ ชั้น 8 ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
35,0105559091145,บจ.เค.ยู.เอส บิวดิ้งส์ ซัพพลายส์ จำกัด,14/6/2559," 10,200,000 ",46107,ประกอบกิจการนำเข้าส่งออกเพื่อค้าส่งค้าปลีกสินค้าทุกชนิดที่เกี่ยวข้องกับอุปกรณ์นั่งร้าน วัสดุก่อสร้าง,571 อาคารอาร์เอสยู ทาวเวอร์ ชั้นที่ 8 ห้องเลขที่ 805 ซอยสุขุมวิท 31 ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
36,0105559084734,บจ.ตรวจสอบภายในธรรมนิติ จำกัด,3/6/2559," 10,000,000 ",69200,ให้บริการตรวจภายใน และวางระบบทางด้านบัญชี การบริหารระบบงาน การตรวจนับสินค้า ฯลฯ,267/1 ถนนประชาราษฎร์ 1  แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,,
37,0105559098727,บจ.มินิโซ (ไทยแลนด์) จำกัด,27/6/2559," 10,000,000 ",46900,ประกอบกิจการ นำเข้าส่งออก ซื้อมาขายไป สินค้าอุปโภคและบริโภค ทุกชนิด,282 ถนนวานิช 1  แขวงจักรวรรดิ เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100,,
38,0105559093199,บจ.ทีอีเอส แพรคติคัม จำกัด,17/6/2559," 10,000,000 ",46599,ประกอบกิจการนำเข้า แปรรูป ประกอบและค้าชิ้นส่วนเครื่องจักร อุปกรณ์ไฟฟ้าทั้งในและนอกประเทศ,179 อาคารบางกอกซิตี้ทาวเวอร์ ชั้น 5 ถนนสาทรใต้  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120,,
39,0105559094144,บจ.เอสซีไอ เอเนซิส จำกัด,20/6/2559," 10,000,000 ",42202,ประกอบกิจการก่อสร้าง ซ่อมบำรุงโรงงานรวมถึงแหล่งผลิตไฟฟ้าพลังงานแสงอาทิตย์และความร้อน,173/17 อาคารเอเชีย เซ็นเตอร์ ชั้น 16 ถนนสาทรใต้  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120,,
40,0105559086206,บจ.เจ.เอส.พี.แอสพลัส จำกัด,7/6/2559," 10,000,000 ",68102,ประกอบกิจการการค้าที่ดิน จัดสรรที่ดิน สิ่งปลูกสร้าง เพื่อจำหน่าย เช่า หรือให้เช่าเพื่อเป็นที่อยู่,43 ซอยพระรามที่ 2 ซอย 54  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150,,
41,0105559083401,บจ.กรีนไทย คอนสตรัคชั่น จำกัด,1/6/2559," 10,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง,69/1 ถนนบรมราชชนนี  แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170,,
42,0105559087954,บจ.กรีนรูฟพร๊อพเพอร์ตี้ จำกัด,9/6/2559," 10,000,000 ",41001,ประกอบกิจการธุรกิจ ก่อสร้าง และ ขาย บ้าน คอนโด อาคารชุด อาคารพาณิชย์ ทาวน์เฮ้าส์,99/9 ถนนจตุโชติ  แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10210,,
43,0105559091391,บจ.ทีรพัฒน์ คอร์ปอเรชั่น จำกัด,15/6/2559," 10,000,000 ",41002,รับเหมาก่อสร้างอาคาร ออกแบบ ตกแต่งอาคาร เขียนแบบร่าง วางแผนและควบคุมการก่อสร้าง,8 ชั้นที่ 3 ซอยรามอินทรา 45/1  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
44,0105559098620,บจ.เหอเหริน จำกัด,27/6/2559," 10,000,000 ",47691,ประกอบกิจการขายของฝาก ของที่ระลึก อาหารและเครื่องดื่ม รวมทั้งสินค้าอื่นทั่วไป,79/150 ซอยรามคำแหง 76  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240,,
45,0105559090874,บจ.แท็กซี่-บีม จำกัด,14/6/2559," 10,000,000 ",63113,การซื้อขายสินค้าหรือบริการโดยวิธีการใช้สื่ออิเล็กทรอนิกส์ ผ่านระบบเครือข่ายอินเทอร์เน็ต,129 อาคารกลอรี่เฮ้าส์ ชั้น 6 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
46,0105559085404,บจ.ซิสโก้ เอสซีเอ็ม (ประเทศไทย) จำกัด,6/6/2559," 10,000,000 ",70103,ประกอบกิจการสำนักงานใหญ่ข้ามประเทศ เพื่อให้บริการเกี่ยวกับการบริหารงาน การช่วยเหลือด้านเทคนิค,999/9 อาคารดิออฟฟิศเศส แอท เซ็นทรัลเวิลด์ ชั้น 28 ถนนพระราม 1  แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330,,
47,0105559092770,บจ.หยางเชิง แซทเทิลไลท์ เทเลคอมมูนิเคชั่นส์ เทคโนโลยี(ไทยแลนด์) จำกัด,16/6/2559," 10,000,000 ",46104,ประกอบกิจการนำเข้า ส่งออก ขายส่ง จานดาวเทียมและอุปกรณ์การสื่อสารดาวเทียมและโทรคมนาคมทุกชนิด,55 ถนนรัชดาภิเษก  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400,,
48,0105559084581,บจ.ไชน่า เอ็กซ์เพรส (ประเทศไทย) จำกัด,3/6/2559," 8,000,000 ",52292,ขนส่งและขนถ่ายสินค้า และคนโดยสารทางบก ทางน้ำ อากาศ ทั้งในและระหว่างประเทศตามพิธีศุลกากร,351/1 ซอยโรหิตสุข  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
49,0105559088641,บจ.อาร์ซีซี เอเชีย จำกัด,9/6/2559," 8,000,000 ",46599,ประกอบกิจการสั่งเข้ามาจำหน่ายเครื่องทำความเย็นที่ใช้ติดตั้งภายในรถบรรทุกรวมทั่งอุปกรณ์ที่เกี่ยวข้อง,67/16 หมู่ที่ 5  แขวงโคกแฝด เขตหนองจอก กรุงเทพมหานคร 10530,,
50,0105559089884,บจ.ดีเอ็นเอ สปอร์ต จำกัด,13/6/2559," 7,000,000 ",84137,ประกอบกิจการบริหารสิทธิประโยชน์ จากเครื่องหมายการค้า,19 ซอยรามคำแหง 22 (จิตตรานุเคราะห์) ถนนรามคำแหง  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240,,
51,0105559095817,บจ.สยามชัย เรียลเอสเตท จำกัด,22/6/2559," 6,000,000 ",68102,ค้าที่ดิน จัดสรรที่ดิน,43 อาคารไทย ซีซี ชั้นที่ 33 ถนนสาทรใต้  แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120,,
52,0105559098565,บจ.ไท่เหอซุ่น จำกัด,27/6/2559," 6,000,000 ",68103,ประกอบกิจการให้เช่าอพาร์ทเม้นท์ อาคารชุด,517 - 519 ถนนโชคชัย 4  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,,
53,0105559097828,บจ.หัวลี่ ฮียี จำกัด,24/6/2559," 6,000,000 ",46104,ประกอบกิจการนำเข้าและส่งออกอิเล็กทรอนิกส์,420/4 ถนนกาญจนาภิเษก  แขวงดอกไม้ เขตประเวศ กรุงเทพมหานคร 10250,,
54,0105559096279,บจ.เซนเทนเนียล เวลเนส จำกัด,23/6/2559," 5,000,000 ",87301,ประกอบกิจการ ให้บริการที่พักอาศัย สถานดูแลแก่ผู้สูงอายุ นวดเพื่อสุขภาพทุกชนิด,2 เวลธ์ ทาวเวอร์ อาคาร บี ชั้น 5 ถนนเจริญนคร  แขวงคลองสาน เขตคลองสาน กรุงเทพมหานคร 10600,,
55,0105559087768,บจ.โปรเจค ไทย จำกัด,9/6/2559," 5,000,000 ",43301,บริการตกแต่งอาคาร ทั้งภายในและภายนอก,96 ซอยจรัญสนิทวงศ์ 92  แขวงบางอ้อ เขตบางพลัด กรุงเทพมหานคร 10700,,
56,0105559094420,บจ.บีเค เอ็นจิเนียริ่ง ซิสเต็มส์ จำกัด,21/6/2559," 5,000,000 ",46599,ประกอบกิจการขายปลีก ขายส่ง บริการติดตั้ง ซ่อมแซม เครื่องปรับอากาศทุกชนิด,210 ซอยจรัญสนิทวงศ์ 71 ถนนจรัญสนิทวงศ์  แขวงบางพลัด เขตบางพลัด กรุงเทพมหานคร 10700,,
57,0105559098913,บจ.สมายลี่ เจมส์ ช้าง จำกัด,28/6/2559," 5,000,000 ",32111,ประกอบกิจการผลิตเครื่องประดับจิวเวลรี่ เพชรแท้ ทองคำแท้,188/17 ถนนจรัญสนิทวงศ์  แขวงบ้านช่างหล่อ เขตบางกอกน้อย กรุงเทพมหานคร 10700,,
58,0105559099227,บจ.เอี่ยวไถ่ สุกี้โบราณ จำกัด,28/6/2559," 5,000,000 ",56101,ประกอบกิจการภัตตาคาร,127/2-3 ถนนสมเด็จพระปิ่นเกล้า  แขวงอรุณอมรินทร์ เขตบางกอกน้อย กรุงเทพมหานคร 10700,,
59,0105559093342,บจ.พรหมประทานพันล้าน จำกัด,17/6/2559," 5,000,000 ",46322,ประกอบกิจการนำเข้าและส่งออกเครื่องดื่มทุกชนิด,172/25 ซอยเทวรัตน์  แขวงวงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร 10800,,
60,0105559091340,บจ.เกรตตี้ไนน์ ซูปเปอร์เซ็นเตอร์ จำกัด,15/6/2559," 5,000,000 ",46321,ประกอบกิจการเป็นตัวแทนจำหน่ายและส่งสุรา เบียร์ ไวน์ โซดา บุหรี่ รวมทั้งเครื่องดื่มทุกชนิด,61/65 ซอยลาดพร้าว 41 ถนนลาดพร้าว  แขวงจันทรเกษม เขตจตุจักร กรุงเทพมหานคร 10900,,
61,0105559098077,บจ.อมรรัชดา มอเตอร์ จำกัด,27/6/2559," 5,000,000 ",45101,ประกอบกิจการค้าและเป็นตัวแทนนายหน้าในการจำหน่ายและซื้อ ขาย รถยนต์ใหม่,60 ซอยเฉลิมสุข ถนนรัชดาภิเษก  แขวงจันทรเกษม เขตจตุจักร กรุงเทพมหานคร 10900,,
62,0105559091811,บจ.อั้งเซ่งเฮงโกลด์(168) จำกัด,15/6/2559," 5,000,000 ",46492,ประกอบกิจการค้า ทอง นาก เงิน รวมทั้งวัตถุทำเทีนมสิ่งดังกล่าว,400-402 ถนนบริพัตร  แขวงสัมพันธวงศ์ เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100,,
63,0105559096350,บจ.ก่อทรัพย์ทวี จำกัด,23/6/2559," 5,000,000 ",55101,ประกอบกิจการโรงแรม รีสอร์ท และห้องชุด,22 ถนนกลันตัน  แขวงตลาดน้อย เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100,,
64,0105559083487,บจ.ไทยนา มอเตอร์ จำกัด,1/6/2559," 5,000,000 ",45301,ประกอบกิจการ นำเข้า ส่งออก และจัดจำหน่าย เกี่ยวกับมอเตอร์ รถยนต์และเครื่องยนต์,1108/31 ถนนสุขุมวิท  แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110,,
65,0105559085102,บจ.แอมเพิล บิสซิเนส คอริดอร์ จำกัด,3/6/2559," 5,000,000 ",86101,กิจการศูนย์ฟอกไตนำเข้า ส่งออกสินค้าที่เกี่ยวกับเครื่องมือแพทย์,194 ซอยจิตรวารี  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
66,0105559090106,บจ.ดูไบ เทรดดิ้ง แอนด์ เอ็กซ์ปอร์ต จำกัด,13/6/2559," 5,000,000 ",79909,ประกอบกิจการให้บริการจำหน่ายตั๋วเครื่องบิน และรับจองที่พักโรงแรม,21 ซอยสุขุมวิท 5 (เลิศสิน 1) ถนนสุขุมวิท  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
67,0105559091226,บจ.เดอะ เกรทสาทร จำกัด,15/6/2559," 5,000,000 ",68102,ประกอบกิจการค้า อสังหาริมทรัพย์ทุกชนิด,393 อาคารคลิ๊ก เดนิม ชั้นที่ 3 ซอยสุขุมวิท 63 (เอกมัย) ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
68,0105559091544,บจ.เนเชอรัล โปรดิวซ์เซส จำกัด,15/6/2559," 5,000,000 ",10309,ประกอบกิจการแปรรูปอาหาร ผัก ผลไม้ ทางเการเกษตร,128/1 ถนนสุขุมวิท 23  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
69,0105559092923,บจ.เดซุง มาเรฟ (ไทยแลนด์) จำกัด,17/6/2559," 5,000,000 ",64201,เข้าเป็นหุ้นส่วนจำกัดความรับผิดในห้างหุ้นส่วนจำกัด,75/29 อาคารริชมอนด์ ชั้น 12 ซอยสุขุมวิท 26 ถนนสุขุมวิท  แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110,,
70,0105559094080,บจ.อี เทค อินเตอร์เนชั่นแนล จำกัด,20/6/2559," 5,000,000 ",46103,ประกอบกิจการ นำเข้า ส่งออก จำหน่าย รับติดตั้งอุปกรณ์การไฟฟ้า การสื่อสาร วัสดุอุปกรณ์เกี่ยวกับไฟฟ้า,446/18 ห้องบี อาคารปาร์คคอเวนิว ถนนสุขุมวิท 71  แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
71,0105559096686,บจ.ฟู้ดแอนด์เบฟเวอร์เรจ จำกัด,23/6/2559," 5,000,000 ",56101,ประกอบกิจการภัตตาคาร ร้านอาหาร,168/95 ซอยสุขุมวิท 23 (ประสานมิตร)  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
72,0105559097607,บจ.เพอร์มาเน้นท์ พาวเวอร์ จำกัด,24/6/2559," 5,000,000 ",10722,การผลิตน้ำตาลบริสุทธิ์,191/75 อาคารซีทีไอ ทาวเวอร์ ชั้น 12 เอ ถนนรัชดาภิเษก  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,,
73,0105559098344,บจ.โรงงานน้ำตาลเกียรติไทย จำกัด,27/6/2559," 5,000,000 ",10722,ประกอบกิจการโรงงานน้ำตาล,191/75 อาคารซีทีไอ.ทาวเวอร์ ชั้นที่ 12 เอ ถนนรัชดาภิเษก  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,,
