นิติบุคคลจัดตั้งเดือนเมษายน  2559,,,,,,,,,
ทั่วประเทศ,,,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่,,
11,0105559061441,บจ.วาย.วี.พี.พร็อพเพอร์ตี้ จำกัด,12/4/2559," 100,000,000 ",55101,ประกอบธุรกิจโรงแรม ให้เช่าห้องพัก,54/18 ซอยประชาอุทิศ 3  แขวงดอนเมือง เขตดอนเมือง กรุงเทพมหานคร 10210,,
12,0105559065420,บจ.คิงส์ จิวเวลรี่ จำกัด,25/4/2559," 100,000,000 ",47732,ประกอบกิจการ อัญมณี เพชร พลอย,79/150 ซอยรามคำแหง 76  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240,,
13,0105559062528,บจ.กรีนทาวน์ พร็อพเพอร์ตี้ แอนด์ ดีเวลลอปเม้นท์ จำกัด,19/4/2559," 100,000,000 ",68103,ประกอบกิจการให้เช่าที่พัก ห้องพัก ร้านค้า,999/334 ซอยเกศินีวิลล์ ถนนประชาอุทิศ  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310,,
14,0105559065594,บจ.ไฮเซ่นส์ อินเตอร์เนชั่นแนล (ประเทศไทย) จำกัด,25/4/2559," 100,000,000 ",46103,ประกอบกิจการนำเข้า ส่งออก ขาย ขนส่งสินค้าและให้บริการสำหรับสินค้าประเภทอิเล็กทรอนิกส์และเครื่องไฟฟ้า,202 อาคารเลอคองคอร์ด ทาวเวอร์ ชั้นที่ 8 ห้อง 807 ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
15,0105559068178,บจ.ประชารัฐรักสามัคคี (ประเทศไทย) จำกัด,29/4/2559," 100,000,000 ",47190,ประกอบกิจการค้าปลีก ค้าส่งสินค้าตามที่กำหนดไว้ในวัตถุประสงค์,90 อาคารไซเบอร์เวิร์ลด ทาวเวอร์ ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
16,0105559068593,บจ.จีเอ็มโอ-แซด คอม เน็ตดีไซน์ โฮลดิ้ง จำกัด,29/4/2559," 68,299,400 ",64202,เข้าเป็นหุ้นส่วนจำกัดความรับผิดในห้างหุ้นส่วนจำกัดและเป็นผู้ถือหุ้นในบริษัทจำกัดหรือบริษัทมหาชนจำกัด,1 อาคารฟอร์จูน ทาวเวอร์ ชั้น 22 ถนนรัชดาภิเษก  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400,,
17,0105559064016,บจ.ฮิวแมน เซนทริค จำกัด,21/4/2559," 60,000,000 ",62012,กิจการซอฟต์แวร์ การพัฒนาซอฟต์แวร์ต่างๆ การฝึกอบรมทักษะอาชีพการออกแบบซอฟต์แวร์ วางแผน,29 อาคารบางกอกบิสซิเนสเซ็นเตอร์ ชั้น 4 สุขุมวิท 63  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
18,0105559059586,บจ.ภัทรนันท์ แอสเซท จำกัด,8/4/2559," 50,000,000 ",68101,ประกอบกิจการจัดสรรบ้าน และที่ดิน,3/1 ซอยราชพฤกษ์ 8  แขวงบางเชือกหนัง เขตตลิ่งชัน กรุงเทพมหานคร 10170,,
19,0105559064431,บจ.คิงส์ รังนก (ไทยแลนด์) จำกัด,22/4/2559," 50,000,000 ",46209,ประกอบกิจการค้า จำหน่ายผลิตภัณฑ์เกี่ยวกับรังนกทุกชนิด,79/150 ซอยรามคำแหง 76  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240,,
20,0105559064440,บจ.โรยัลปาร์ค (ไทยแลนด์) จำกัด,22/4/2559," 50,000,000 ",90002,ประกอบกิจการ การแสดงโชว์ของสัตว์ทุกชนิด,79/150 ซอยรามคำแหง 76  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240,,
21,0105559066027,บจ.ควีนเลเธอร์ (ไทยแลนด์) จำกัด,26/4/2559," 50,000,000 ",46439,ประกอบกิจการค้า จำหน่ายสิ่งของที่ระลึก,79/150 ซอยรามคำแหง 76  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240,,
22,0105559055564,บจ.โกรวัตต์ นิว เอ็นเนอร์ยี่ เทคโนโลยี (ประเทศไทย) จำกัด,1/4/2559," 50,000,000 ",27102,ประกอบกิจการผลิตจำหน่ายและติดตั้งเครื่องแปลงกระแสไฟฟ้าสำหรับผลิตไฟฟ้าจากพลังงานแสงอาทิตย์,202 อาคารเลอคองคอร์ด ทาวเวอร์ ชั้น 11 ห้อง 1104 ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
23,0105559062471,บจ.วายทีโอ เอ็กซ์เพรส (ประเทศไทย) จำกัด,19/4/2559," 50,000,000 ",49323,ประกอบกิจการขนส่งและขนถ่ายสินค้าและคนโดยสารทั้งทางบก ทางน้ำ ทางอากาศ ทั้งภายในและภายนอกประเทศ,279/106 ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
24,0105559065845,บจ.อินโนไลฟ์ คอร์ปอเรชั่น จำกัด,25/4/2559," 50,000,000 ",46900,ศูนย์บริการลูกค้าและสมาชิกครบวงจร ที่มีทั้งการขายสินค้า จัดส่งสินค้า ติดตั้ง ซ่อมแซมอุปกรณ์,184/233 ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
25,0105559059055,บจ.เค เอ็ม เจ 2016 จำกัด,8/4/2559," 41,000,000 ",56101,ประกอบกิจการภัตตาคาร ร้านอาหาร และเครื่องดื่ม,87 อาคารโครงการเดอะแจส รามอินทรา ห้องเลขที่ เอ 220 ถนนลาดปลาเค้า  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
26,0105559066426,บจ.แม๊กซ์ เอเชีย จำกัด,26/4/2559," 40,000,000 ",46316,ประกอบกิจการค้าขนมอบเบเกอรี่ และส่วนประกอบในการทำเบเกอรี่,14 อาคารแสงโสม ถนนวิภาวดีรังสิต  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,,
27,0105559066868,บจ.บริหารสินทรัพย์ คอลเลคเชียส จำกัด,27/4/2559," 25,000,000 ",64991,รับซื้อหรือรับโอนสินทรัพย์ด้อยคุณภาพของสถาบันการเงิน,2 อาคารเพลินจิต เซ็นเตอร์ ชั้น จี ถนนสุขุมวิท  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,,
28,0105559062277,บจ.โกลบอลพาวเวอร์อินดัสตรี จำกัด,18/4/2559," 20,000,000 ",35101,การผลิตและการส่งไฟฟ้า เพื่อพัฒนาโรงไฟฟ้าและอุตสาหกรรมอื่นๆ,1 ซอยเพชรเกษม 3 แยก 3 ถนนเพชรเกษม  แขวงวัดท่าพระ เขตบางกอกใหญ่ กรุงเทพมหานคร 10600,,
29,0105559062617,บจ.โกลบอลแอดวานซ์อินดัสตรี จำกัด,19/4/2559," 20,000,000 ",35101,การผลิตและการส่งไฟฟ้า,1 ซอยเพชรเกษม 3 แยก 3 ถนนเพชรเกษม  แขวงวัดท่าพระ เขตบางกอกใหญ่ กรุงเทพมหานคร 10600,,
30,0105559061611,บจ.เบสท์ฟอร์จูนแอสเซท จำกัด,12/4/2559," 20,000,000 ",68102,จัดสรรที่ดิน ก่อสร้างอาคารขายหรือให้เช่า,33/320 ถนนจันทน์  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,,
31,0105559065900,บจ.หมิง เจี้ยน คอนสตรัคชั่น แมททีเรียล คอร์ปอเรชั่น (ประเทศไทย) จำกัด,25/4/2559," 20,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้างอาคาร และรับเหมาตกแต่งทั้งภายในและภายนอกอาคารทุกชนิด,"11,13,15,17 ซอยบางขุนเทียน14  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150",,
32,0105559059128,บจ.แพล็ตตินั่ม เวิลด์ จำกัด,8/4/2559," 20,000,000 ",10299,ประกอบกิจการผลิต นำเข้า ส่งออกและขายส่งอาหารทะเลทุกชนิด,57 ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
33,0105559055858,บจ.บันได โลจิพาล (ประเทศไทย) จำกัด,1/4/2559," 15,000,000 ",49323,ประกอบกิจการขนส่งและขนถ่ายสินค้า ให้บริการที่เกี่ยวกับพิธีศุลการกร และการจัดวางการขนส่ง,388 อาคารเอ็กซ์เชนจ์ ทาวเวอร์ ชั้นที่ 29 ถนนสุขุมวิท  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,,
34,0105559060789,บจ.ลีน อินดัสตรี้ จำกัด,12/4/2559," 15,000,000 ",14131,ประกอบกิจการผลิต ส่งออก และจำหน่ายหมวกทุกชนิด รวมทั้งส่วนประกอบของผลิตภัณฑ์,63 อาคารแอทธินี ทาวเวอร์ ชั้น23 ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
35,0105559056234,บจ.เรียววา (ประเทศไทย) จำกัด,1/4/2559," 14,710,000 ",46599,การค้าส่ง นำเข้า ส่งออก ซึ่งเครื่องจักร ยานยนต์ เครื่องมือ อุปกรณ์ชิ้นส่วนต่างๆที่ใช้ในงานอุตสาหกรรม,141 อาคารเมเจอร์ ทาวเวอร์ ทองหล่อ ออฟฟิศ 3 ชั้น 14 ซอยสุขุมวิท 63(เอกมัย)  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
36,0105559067708,บจ.ไรน์เฮ้าเซ่น (ไทยแลนด์) จำกัด,28/4/2559," 12,000,000 ",46599,ประกอบกิจการขายส่ง ขายปลีก สินค้าอะไหล่ อุปกรณ์ เครื่องมือ เครื่องยนต์ เครื่องจักร,32 ซอยประชาอุทิศ 21 ถนนประชาอุทิศ  แขวงบางมด เขตทุ่งครุ กรุงเทพมหานคร 10140,,
37,0105559057524,บจ.คณานัดดา จำกัด,5/4/2559," 10,500,000 ",56101,ประกอบกิจการ ภัตตาคาร ร้านอาหาร จำหน่ายอาหาร,"93,95 ซอยสุขุมวิท26 (ซอยอารีย์) ถนนสุขุมวิท  แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110",,
38,0105559063427,บจ.ธาดารัตน์ จำกัด,20/4/2559," 10,100,000 ",46592,ประกอบกิจการจำหน่ายปลีก อะไหล่และซ่อมรถเครน และการซ่อม เครื่องจักร,120/365 ซอยวชิรธรรมสาธิต 12 ถนนสุขุมวิท  แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260,,
39,0105559056196,บจ.ล็อกซเล่ย์ ไวร์เลส ซิสเต็ม อินทิเกรเตอร์ จำกัด,1/4/2559," 10,000,000 ",61900,ประกอบกิจการให้บริการรับเหมาติดตั้งงานด้านสื่อสารโทรคมนาคม เทคโนโลยีสารสนเทศ และด้านสาธารณูปโภค,2 ซอยพหลโยธิน 19 ถนนพหลโยธิน  แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร 10900,,
40,0105559057192,บจ.เอลิส ไพรเวต จำกัด,4/4/2559," 10,000,000 ",46421,นำเข้าสินค้ากล้องถ่ายรูปทุกชนิด,265 ซอยสุขุมวิท 31  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
41,0105559062137,บจ.เดอะโซล จำกัด,18/4/2559," 10,000,000 ",55101,ประกอบกิจการโรงแรม รีสอร์ท สปา ภัตตาคาร สถานที่จัดแสดงศิลปะ ความบันเทิง และนันทนาการ,559/48-49 ถนนนนทรี  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,,
42,0105559057702,บจ.เป็นต่อ เอ็กซ์เช้นจ์ จำกัด,5/4/2559," 10,000,000 ",66123,ประกอบกิจการค้าสกุลเงินที่ใช้สำหรับทำธุรกรรม บริการรับแลกเปลี่ยนเงินตราต่างประเทศทุกชนิด,59 ซอยรามอินทรา 5 แยก 3-12  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
43,0105559066060,บจ.ยูโรเทค นิวทรีชั่น อินเตอร์เนชั่นแนล จำกัด,26/4/2559," 10,000,000 ",47897,ค้า ยารักษาโรค ยาบำรุงพืชและสัตว์ทุกชนิด,111/94-95 ถนนรัชดา-รามอินทรา  แขวงคันนายาว เขตคันนายาว กรุงเทพมหานคร 10230,,
44,0105559066809,บจ.ทาเคะโมโตะ แพคเกจจิ้ง (ประเทศไทย) จำกัด,27/4/2559," 10,000,000 ",46103,นำเข้า ส่งออก จัดหาจัดซื้อ และจำหน่าย วัตถุดิบ วัสดุชิ้นส่วน ส่วนประกอบ บรรจุภัณฑ์,11 อาคารทวีคูณ ชั้นที่ 2 ซอยสุขุมวิท 70 (เศวตวิทย์)  แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260,,
45,0105559056595,บจ.โตโยดะ กิเคน (ประเทศไทย) จำกัด,4/4/2559," 10,000,000 ",29309,ประกอบกิจการผลิตและจัดจำหน่ายชิ้นส่วนประกอบรถยนต์,2922/127 อาคารชาญอิสสระทาวเวอร์ 2 ชั้น 3 ถนนเพชรบุรีตัดใหม่  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310,,
46,0105559063923,บจ.บีดีเอ็มเอส จัดการทรัพย์สิน จำกัด,21/4/2559," 10,000,000 ",66199,บริการรับเป็นผู้จัดการ และดูแลผลประโยชน์ เก็บผลประโยชน์ และการจัดการทรัพย์สินให้บุคคลอื่น,2 ซอยศูนย์วิจัย 7 ถนนเพชรบุรีตัดใหม่  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310,,
47,0105559056994,บจ.ซินโนว่า แอดวานซ์ พาวเวอร์ เซอร์วิสเซส จำกัด,4/4/2559," 10,000,000 ",70103,ประกอบกิจการให้บริการด้านการบริหารหรือด้านเทคนิค การให้บริการสนับสนุนแก่วิสาหกิจในเครือสาขาของตน,87/2 อาคารซีอาร์ซี ทาวเวอร์ ออล ซีซั่นส์ เพลส ชั้น 36 ห้อง s-03 ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
48,0105559058687,บจ.แอซิคส์ (ไทยแลนด์) จำกัด,7/4/2559," 10,000,000 ",46415,ประกอบกิจการค้า รองเท้า เครื่องแต่งกาย ชุดกีฬา อุปกรณ์เสริมกีฬา และอุปกรณ์กีฬา,57 อาคารปาร์คเวนเชอร์ อีโคเพล็กซ์ ชั้นที่ 18 ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
49,0105559067945,บจ.เซ็นทารา แมนเนจเม้นท์ เฮดควอเตอร์ จำกัด,28/4/2559," 10,000,000 ",70209,ให้บริการด้านการบริหารหรือเทคนิค,999/99 ถนนพระราม1  แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330,,
50,0105559063397,บจ.ดิจินคร จำกัด,20/4/2559," 10,000,000 ",73101,ผลิตสื่อโฆษณา และกอจกรรมส่งเสริมการขายทุกประเภท,465/1-467 ถนนศรีอยุธยา  แขวงทุ่งพญาไท เขตราชเทวี กรุงเทพมหานคร 10400,,
51,0105559057044,บจ.ริชชี่(2016) จำกัด,4/4/2559," 10,000,000 ",77400,ผู้ผลิตและจัดจำหน่ายสินค้านวัตกรรมและสิทธิบัตร ของนาย ปิ่นกมล เรืองเดช ทั้งในประเทศและต่างประเทศ,98 อาคารสาทร สแควร์ ห้อง 3707 ชั้น 37 ถนนสาทรเหนือ  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,,
52,0105559062251,บจ.โทดะ โคเงียว เอเชีย (ประเทศไทย) จำกัด,18/4/2559," 10,000,000 ",27909,ประกอบกิจการผลิต จำหน่าย ชิ้นส่วน วัตถุดิบ ผลิตภัณฑ์ประเภทแม่เหล็ก สำหรับงานอุตสาหกรรม,952 อาคารรามาแลนด์ ชั้น13 ถนนพระราม4  แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500,,
53,0105559061777,บจ.อิชิอิ แอนด์ พาร์ทเนอร์ส (ประเทศไทย) จำกัด,18/4/2559," 8,000,000 ",86201,ประกอบกิจการคลีนิคเวชศาสตร์ฟื้นฟู กายภาพบำบัด และธุรกิจอื่นๆที่เกี่ยวข้อง,"315, 317 ซอยโชคชัยจงจำเริญ  แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร 10120",,
54,0105559065501,บจ.14 ออโต้เวิร์ค จำกัด,25/4/2559," 7,000,000 ",45101,ประกอบกิจการนำเข้า ส่งออก ตัวแทนจำหน่ายยานยนต์ ทั้งใหม่และใช้แล้ว,41/107 หมู่ที่ 5  แขวงจอมทอง เขตจอมทอง กรุงเทพมหานคร 10150,,
55,0105559065268,บจ.อเซโก้ พาวเวอร์ จำกัด,25/4/2559," 7,000,000 ",35101,การผลิตและการส่งไฟฟ้า เพื่อพัฒนาโรงไฟฟ้า และ อุตสาหกรรมอื่นๆ,28 ซอยลาดกระบัง9 ถนนลาดกระบัง  แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520,,
56,0105559064792,บจ.รัชดา แอสเซทส์ โฮลดิ้ง จำกัด,22/4/2559," 6,000,000 ",64201,เข้าเป็นหุ้นส่วนจำกัดความรับผิดชอบ ในห้างหุ้นส่วนจำกัด เป็นผู้ถือหุ้นในบริษัทจำกัด มหาชน,315/601 ถนนสาธุประดิษฐ์  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,,
57,0105559062374,บจ.แอนเดอร์สัน โมริ แอนด์ โทะโมะสึเนะ (ไทยแลนด์) จำกัด,18/4/2559," 6,000,000 ",69100,กิจกรรมด้านกฎหมาย,ชั้น 12 ห้องเลขที่ 1206 อาคารเมอร์คิวรี่ 540 ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
58,0105559067775,บจ.สมาร์ทอี เวนเจอร์ จำกัด,28/4/2559," 6,000,000 ",46422,นำเข้าเพื่อค้าปลีกและค้าส่งสินค้าประเภทหลอดไฟแอลอีดี,990 อาคารอับดุลราฮิม เพลส ชั้น31 ห้อง3101 ถนนพระราม4  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,,
59,0105559058482,บจ.โฟร์ซี เอ็กซิม จำกัด,7/4/2559," 5,000,000 ",46411,ประกอบกิจการจำหน่าย ผ้าม้วนและเสื้อผ้าสำเร็จรูปพร้อมทั้งรับจ้างตัดเย็บเสื้อผ้า,243 ซอยเจริญนคร 20 ถนนเจริญนคร  แขวงบางลำภูล่าง เขตคลองสาน กรุงเทพมหานคร 10600,,
60,0105559065730,บจ.เอสเตติก คอนเนค จำกัด,25/4/2559," 5,000,000 ",86201,ประกอบกิจการศัลยกรรมตกแต่ง งามทุกประเภทและจำหน่ายอุปกรณ์ เสริมสวยทุกประเภท,2 ถนนเจริญนคร  แขวงคลองสาน เขตคลองสาน กรุงเทพมหานคร 10600,,
61,0105559066531,บจ.แอลเคซี ดีเวลลอปเมนท์ จำกัด,27/4/2559," 5,000,000 ",70209,ประกอบธุรกิจบริการรับเป็นที่ปรึกษาและให้คำแนะนำเกี่ยวกับปัณหาด้านบริหารงานพาณิชยกรรม อุตสาหกรรม,144 ซอยเจริญนคร 8 ถนนเจริญนคร  แขวงคลองต้นไทร เขตคลองสาน กรุงเทพมหานคร 10600,,
62,0105559065390,บจ.แบงค้อก รีเจนเนอเรทีฟ เซ็นเตอร์ จำกัด,25/4/2559," 5,000,000 ",86201,รับบริการดูแล รักษา เป็นที่ปรึกษา ทางการแพทย์,5 ถนนรัชดาภิเษก  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,,
63,0105559066604,บจ.บีเฮ้าส์ ออนไลน์ จำกัด,27/4/2559," 5,000,000 ",46412,ประกอบกิจการค้าสินค้าของใช้ที่ทำจากผ้าและสินค้าเครื่องใช้ในครัวเรือนทุกประเภท,195/17-21 ซอยพหลโยธิน 32 ถนนพหลโยธิน  แขวงเสนานิคม เขตจตุจักร กรุงเทพมหานคร 10900,,
64,0105559056188,บจ.เจ เอ็ม จี จำกัด,1/4/2559," 5,000,000 ",70209,ประกอบกิจการให้บริการเป็นที่ปรึกษาด้านการนำเข้า ส่งออกสินค้า และเป็นที่ปรึกษาให้ธุรกิจด้านอาหาร,"575,577,579 ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110",,
65,0105559056641,บจ.บิสซิเนสคลาสเอเซีย จำกัด,4/4/2559," 5,000,000 ",70209,ประกอบธุรกิจให้คำปรึกษาในการวางแผน,1108/31 ถนนสุขุมวิท  แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110,,
66,0105559058032,บจ.วี สเปซ จำกัด,7/4/2559," 5,000,000 ",68104,ให้เช่า ให้เช่าช่วง เช่า เช่าช่วงพื้นที่ อาคารสำหรับใช้เป็นสำนักงาน ที่พักอาศัย ห้องประชุม,111 ซอยสุขุมวิท 55 (ทองหล่อ 5)  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
67,0105559059489,บจ.คอนน่า บีน เทคโนโลยี จำกัด,8/4/2559," 5,000,000 ",72109,ประกอบกิจการเครือข่ายการวิจัยเทคโนโลยี การพัฒนาซอฟต์แวร์บริการทางเทคนิคการถ่ายทอดเทคโนโลยี,79/185 ซอยสุขุมวิท 46  แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110,,
68,0105559062358,บจ.ล็อกซ์เทรด สเปเชียลตี้ อินโนเวชั่น จำกัด,18/4/2559," 5,000,000 ",10619,ผลิต และ จำหน่าย อาหารเสริมสุขภาพและความงาม และผลิตภัณฑ์อื่นที่เกี่ยวข้อง,102 ถนนณ ระนอง  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,,
69,0105559063630,บจ.แอร์เทล ไลฟ์สไตล์ จำกัด,21/4/2559," 5,000,000 ",55909,ที่พักแรมและบริการด้านอาหาร,44/30-31-32 ถนนสุขุมวิท 21 (อโศก)  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
70,0105559064369,บจ.จาตุรธุรกิจ จำกัด,21/4/2559," 5,000,000 ",68101,ประกอบกิจการซื้อขาย เช่า ให้เช่า เช่าซื้อ ให้เช่าซื้อ อสังหาริมทรัพย์ประเภทบ้าน ที่ดิน,111 ถนนณ ระนอง  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,,
71,0105559064407,บจ.ซีเอสโอ (จีที) จำกัด,21/4/2559," 5,000,000 ",96309,จัดหาสิ่งอำนวยความสะดวกในสำนักงานและบริการที่เกี่ยวข้องรวมทั้งให้เช่าพื้นที่สำนักงาน,อาคารกลาสเฮ้าส์ ชั้น P ห้อง P01 เลขที่ 1 ซอยสุขุมวิท 25 ถนนสุขุมวิท  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
