นิติบุคคลจัดตั้งเดือนกรกฎาคม  2559,,,,,,,,,
ทั่วประเทศ,,,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่,,
32,0105559107173,บจ.สงวนทัศน์ ดีเวลลอปเมนท์ จำกัด,11/7/2559," 10,000,000 ",55101,ประกอบธุรกิจโรงแรมและภัตตาคาร,667 ถนนจรัญสนิทวงศ์  แขวงอรุณอมรินทร์ เขตบางกอกน้อย กรุงเทพมหานคร 10700,,
33,0105559106070,บจ.ชีวาม เทรดดิ้ง จำกัด,8/7/2559," 10,000,000 ",46411,จำหน่ายเส้นด้าย และผ้า,121 ถนนวานิช 1  แขวงจักรวรรดิ เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100,,
34,0103559010615,หจ.ห้างทองย่งฮะฮวดซุ่นกี่,12/7/2559," 10,000,000 ",47732,ประกอบกิจการซื้อ-ขาย เงิน ทอง นาค เพชร พลอยรูปพรรณ,213-215 ถนนเจริญกรุง  แขวงบ้านบาตร เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100,,
35,0105559114307,บจ.สตุมฟ์ เอเนอร์ยี่ เซอร์วิสเซส (ประเทศไทย) จำกัด,26/7/2559," 10,000,000 ",41002,รับจ้างออกแบบ จัดหา รับเหมาก่อสร้าง,219/39 อาคารอโศก ทาวเวอร์ ชั้นที่ 11 ซอยอโศก ถนนสุขุมวิท 21  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
36,0105559105359,บจ.รอนนี่ แอนด์ เวียร์ จำกัด,7/7/2559," 10,000,000 ",46103,ประกอบธุรกิจนำเข้าและจำหน่ายสินค้าประเภทรองเท้าและเครื่องแต่งกาย,100/68 ซอยสุขุมวิท 26  แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110,,
37,0105559112819,บจ.ล็อกซเล่ย์ เอ็นจิเนียริ่ง จำกัด,25/7/2559," 10,000,000 ",43210,ให้บริการ รับเหมาติดตั้ง งานด้านสื่อสารโทรคมนาคม เทคโนโลยีสารสนเทศ,102 ถนนณ ระนอง  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,,
38,0105559110379,บจ.ทริฟเวนท์ รีท แมนเนจเม้นท์ จำกัด,15/7/2559," 10,000,000 ",64309,ประกอบกิจการเป็นผู้จัดการกองทรัสต์ เมื่อได้รับอนุญาตจากหน่วยงานที่เกี่ยวข้อง,132 ซอยหมู่บ้านเลคไซด์วิลล่า 2  แขวงดอกไม้ เขตประเวศ กรุงเทพมหานคร 10250,,
39,0105559112088,บจ.ออล ออร์แกนนิค อินโนเวชั่น จำกัด,22/7/2559," 10,000,000 ",20221,ประกอบกิจการผลิตและจำหน่ายผลิตภัณฑ์น้ำยาขจัดคราบน้ำมัน,11/1 ซอยเฉลิมพระเกียรติ ร.9 ซอย 15  แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250,,
40,0105559114099,บจ.ไชน่า ไทย คอนสตรัคชั่น จำกัด,26/7/2559," 10,000,000 ",68102,ประกอบกิจการรับซื้อและพัฒนาอสังหาริมทรัพย์และจำหน่ายอสังหาริมทรัพย์,43 พัฒนาการ 69 แยก 2-3-4  แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250,,
41,0105559114633,บจ.บี เบต้า เนเชอรัล จำกัด,27/7/2559," 10,000,000 ",20232,ประกอบกิจการผลิตและจำหน่ายเครื่องสำอางประเภทต่างๆรวมทั้งแป้งฝุ่น แป้งหอม,11/1 ซอยเฉลิมพระเกียรติ ร.9 ซอย 15  แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250,,
42,0105559112509,บจ.สตาร์ อัลลิอันซ์ อินเตอร์ จำกัด,22/7/2559," 10,000,000 ",68103,ที่พักและบริการด้านอาหาร,488 ซอยรัชดานิเวศน์  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310,,
43,0105559108803,บจ.แก่น 555 จำกัด,13/7/2559," 10,000,000 ",82302,รับจัดงาน ดำเนินงาน รับเป็นที่ปรึกาาและให้คำแนะนำปัญหา สำหรับการจัดงานแสดงสินค้า,36/6 ซอยรามคำแหง 21 (นวศรี)  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310,,
44,0105559104883,บจ.ลานนาพาวเวอร์เจ็นเนอร์เรชั่น จำกัด,7/7/2559," 10,000,000 ",64201,ลงทุนเข้าหุ้นในกิจการใดๆ,888/98 อาคารมหาทุนพลาซ่า ชั้น 9 ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
45,0105559107319,บจ.ไวท์วอเตอร์ เวสต์ เอสอีเอ จำกัด,12/7/2559," 10,000,000 ",70209,ที่ปรึกษาทางธุรกิจพัฒนาอสังหาริมทรัพย์เพื่อสันทนาการ,546/7 ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
46,0105559110221,บจ.อินฟินิตี้พลัส อินเตอร์เนชั่นแนล จำกัด,15/7/2559," 10,000,000 ",70103,ประกอบกิจการให้บริการกำกับดูแลกิจการของสาขา หรือบริษัทในเครือในต่างประเทศ,353 โครงการแอมพาร์ค ห้องเลขที่ บี 007 โซน เอ ชั้นกราวด์ ถนนเจริญเมือง  แขวงวังใหม่ เขตปทุมวัน กรุงเทพมหานคร 10330,,
47,0105559106738,บจ.เอเชีย โฮเรก้า จำกัด,11/7/2559," 10,000,000 ",96309,ประกอบกิจการด้านการบริการสินค้าและผลิตภัณฑ์ที่ใช้ในกิจการโรงแรม ภัตรตราคาร และกิจการจัดเลี้ยง,139 ถนนรัชดาภิเษก  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400,,
48,0105559103721,บจ.คอนเน็คเตอร์โฟร์เอเซีย จำกัด,5/7/2559," 8,710,000 ",63113,บริการเป็นสื่อกลางสำหรับธุรกิจติดต่อลูกค้าทางโทรศัพท์เพื่อให้ข้อมูลแก่ลูกค้าทั้งผู้ซื้อและผู้ขาย,19/87 อาคารคอนโดสุขุมวิทสวีท ชั้น 11 ซอยสุขุมวิท 13(แสงจันทร์)  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
49,0105559112894,บจ.บิ๊กเบรน จำกัด,25/7/2559," 8,000,000 ",73101,ประกอบกิจการผลิต รับจ้างผลิต สื่อโฆษณา รายการโทรทัศน์ ภาพยนต์ ออกแบบโฆษณา และอื่นๆ,1213/309 ซอยลาดพร้าว 94 (ปัญจมิตร) ถนนศรีวรา  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310,,
50,0105559101736,บจ.แคปแลน โฮลดิ้งส์ (ไทยแลนด์) จำกัด,1/7/2559," 7,500,000 ",64201,เข้าเป็นหุ้นส่วนจำกัดความรับผิดในห้างหุ้นส่วนจำกัด,98 อาคารสาทร สแควร์ ออฟฟิศ ทาวเวอร์ ชั้น 26 ห้องเลขที่ 2602-2604 ถนนสาทรเหนือ  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,,
51,0105559110719,บจ.ดู เฮาส์ (ไทยแลนด์) จำกัด,15/7/2559," 7,000,000 ",70209,ประกอบกิจการวิจัย วิเคราะห์ บริหาร จัดการ เป็นที่ปรึกษา ให้คำแนะนำงานด้านการตลาด,246 อาคารไทมส์ สแควร์ ชั้นที่ 10 ห้องเลขที่ 10-04 ซอยสุขุมวิท 12-14 ถนนสุขุมวิท  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,,
52,0105559116938,บจ.ศรีสยาม ฮอลิเดย์ จำกัด,29/7/2559," 7,000,000 ",79120,ประกอบกิจการนำเที่ยว รวมทั้งกิจการที่เกี่ยวกับการนำเที่ยวทุกชนิด,1991/104 หมู่บ้านอารียา แมนดารีน่า ถนนอ่อนนุช  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,,
53,0105559106941,บจ.วสุรัตน์ อาร์. โฮลดิ้ง จำกัด,11/7/2559," 6,000,000 ",64201,เข้าเป็นหุ้นส่วนจำกัดความรับผิดในห้างหุ่นส่วนจำกัด เป็นผู้ถือหุ้นในบริษัทจำกัดและบริษัทมหาชน,880/1 ถนนหลวงแพ่ง  แขวงทับยาว เขตลาดกระบัง กรุงเทพมหานคร 10520,,
54,0105559104051,บจ.อมัร เอ็นเตอร์ไพรส์ จำกัด,6/7/2559," 5,000,000 ",64921,รับค้ำประกันหนี้บริษัทหรือวงเงินสินเชื่ออื่นๆกับธนาคาร ชำระหนี้บริษัทและ/หรือกรรมการของบริษัท,250/72-73 ซอยเจริญนคร 34 ถนนเจริญนคร  แขวงบางลำภูล่าง เขตคลองสาน กรุงเทพมหานคร 10600,,
55,0103559010275,หจ.เอเอ็นเอเอ็น.อาร์ กรุ๊ป,6/7/2559," 5,000,000 ",41002,รับเหมาาก่อสร้างและควบคุมงานก่อสร้าง อาคารพาณิชย์ อาคารที่พักอาศัย สถานที่ทำการ ฯลฯ,23/55 ซอยสิทธิชัย  แขวงวงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร 10800,,
56,0105559107939,บจ.แอล จี เอส โซลูชั่นส์ จำกัด,12/7/2559," 5,000,000 ",25112,ประกอบกิจการผลิตและจำหน่ายโลหะที่เป็นโครงสร้างของการก่อสร้างอาคาร,90/8 อาคารชุดเพ็ญศิริเพลส ซอยพหลโยธิน 32  แขวงจันทรเกษม เขตจตุจักร กรุงเทพมหานคร 10900,,
57,0105559113645,บจ.เอ็มมาร์ อิมเพ็กซ์ จำกัด,26/7/2559," 5,000,000 ",56101,ประกอบกิจการค้าอาหารและเครื่องดื่มทุกชนิด,122/14 ซอยลาดพร้าว 37 ถนนลาดพร้าว  แขวงจันทรเกษม เขตจตุจักร กรุงเทพมหานคร 10900,,
58,0105559115079,บจ.ไดนาสตี้ แมเนจเมนท์ จำกัด,27/7/2559," 5,000,000 ",68102,ประกอบกิจการซื้อ ขาย ให้เช่า อสังหาริมทรัพย์ และสังหาริมทรัพย์,555/37 อาคารเอสเอสพี ทาวเวอร์ ชั้นที่ 16 ซอยสุขุมวิท 63 (เอกมัย)  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
59,0105559108986,บจ.เอสจี ซีเมนต์ จำกัด,14/7/2559," 5,000,000 ",46107,ประกอบกิจการผู้แทนจำหน่าย ค้าปลีก ค้าส่ง วัสดุก่อสร้าง อุปกรณ์ก่อสร้าง,1558/6 ถนนสุขุมวิท  แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110,,
60,0105559104794,บจ.อินไทย คอร์ป จำกัด,7/7/2559," 5,000,000 ",68102,ซื้อขายและให้เช่าอสังหาริมทรัพย์,466/31 ซอยสวนพลู  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120,,
61,0105559115346,บจ.ดูไฟส์ เอนเนอยี่ คอร์ปอเรชั่น จำกัด,28/7/2559," 5,000,000 ",46521,ประกอบกิจการจำหน่าย อุปกรณ์ไฟฟ้าอิเลคโทรนิคส์ อุปกรณ์ระบบไฮบริด อุปกรณ์ไฟฟ้าที่เกี่ยวข้องกับ,43 หมู่บ้านบ้านพระราม 4 ซอยพระยาพิเรนทร์  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120,,
62,0105559111081,บจ.พีอาร์เอ็กซ์ โลจิสติกส์ (ประเทศไทย) จำกัด,21/7/2559," 5,000,000 ",52292,ประกอบกิจการรับบริการนำของออกจากท่าเรือตามพิธีศุลกากร และการจัดระวางการขนส่งทุกชนิด,1258/32 อาคารริเวอร์วิวเพลซ ตึก บี ชั้นที่ 2 ถนนพระราม 3  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,,
63,0105559113416,บจ.ใจ แลนด์ จำกัด,25/7/2559," 5,000,000 ",68101,ประกอบกิจการปลูกสร้างอาคารพาณิชย์ อาคารที่พักอาศัย อาคารสำนักงาน โดยขายพร้อมที่ดิน,2/6 ซอยพระรามที่ 3 ซอย 28/1 ถนนพระราม 3  แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร 10120,,
64,0105559110743,บจ.เหล็กแสงเจริญ (2016) จำกัด,15/7/2559," 5,000,000 ",46695,ทำการรับซื้อเศษโลหะ อลูมิเนียม ตะกั่ว,"4,4/1 ซอยประชาอุทิศ 15 ถนนประชาอุทิศ  แขวงราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพมหานคร 10140",,
65,0105559115770,บจ.แซนด์แมน ดีเวลลอปเม้นท์ จำกัด,28/7/2559," 5,000,000 ",43120,ประกอบกิจการรับจ้างขนดิน ทราย หิน และวัสดุก่อสร้างทุกชนิด,598 ถนนราษฎร์บูรณะ  แขวงราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพมหานคร 10140,,
66,0105559102848,บจ.ภูภูมิการโยธา จำกัด,4/7/2559," 5,000,000 ",41002,รับเหมาก่อสร้าง,158 ซอยประชาอุทิศ 33 ถนนประชาอุทิศ  แขวงบางมด เขตทุ่งครุ กรุงเทพมหานคร 10140,,
67,0105559106193,บจ.สยาม ริช อินเตอร์เนชั่นแนล จำกัด,8/7/2559," 5,000,000 ",46102,ประกอบกิจการส่งออกไปจำหน่ายยังต่างประเทศซึ่งสินค้าประเภท ข้าวสาร น้ำตาลและเครื่องบริโภค,101/166 ถนนกัลปพฤกษ์  แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150,,
68,0105559111791,บจ.พิพัฒน์ไพบูลย์ จำกัด,22/7/2559," 5,000,000 ",68102,ประกอบกิจการซื้อ ขาย เช่า ให้เช่า ให้เช่าซื้อ ขายฝากและจำนองที่ดิน อาคาร โรงงาน หรืออสังหาริมทรัพย์,814 ถนนเอกชัย  แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150,,
69,0105559116105,บจ.จ.เกียรติเจริญกิจ อุตสาหกรรมพลาสติก จำกัด,28/7/2559," 5,000,000 ",46693,ประกอบกิจการ จำหน่าย พลาสติก เม็ดพลาสติก แผ่นพลาสติก หรือสิ่งอื่นที่มีลักษณะคล้ายคลึงกัน,104 ซอยเอกชัย 133  แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150,,
70,0105559101469,บจ.ยนต์พัฒนาอุตสาหกรรม จำกัด,1/7/2559," 5,000,000 ",28199,ประกอบกิจการผลิต นำเข้า ส่งออก และจัดจำหน่ายอะไหล่ยนต์ อะไหล่เครื่องจักรทุกชนิด,"52,54 ซอยพระรามที่ 2 ซอย 60  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150",,
71,0105559104921,บจ.โซ จิวเวล จำกัด,7/7/2559," 5,000,000 ",26521,ประกอบกิจการผลิตและรับจ้างทำตัวเรือนรูปพรรณ,357 ซอยพระรามที่ 2 ซอย 51  แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150,,
72,0105559104263,บจ.ปาโก้ เอ็นจิเนียริ่ง จำกัด,6/7/2559," 5,000,000 ",46599,ประกอบกิจการค้า เครื่องมือวัดทางอุตสาหกรรม อุปกรณ์วาล์ว,55/77 หมู่ที่ 8 หมู่บ้านซิตี้ คอนเนค กัลปพฤกษ์  แขวงบางขุนเทียน เขตจอมทอง กรุงเทพมหานคร 10150,,
73,0105559106801,บจ.ห้างทองเพชรทองใบ เยาวราช (2541) จำกัด,11/7/2559," 5,000,000 ",47732,ประกอบกิจการค้า ซื้อขายทองรูปพรรณ ทองคำแท่ง เพชร พลอย เงิน นาก และอัญมณีอื่นๆ,36/7-8 หมู่ที่ 3  แขวงบางขุนเทียน เขตจอมทอง กรุงเทพมหานคร 10150,,
