นิติบุคคลจัดตั้งเดือนมีนาคม  2559,,,,,,,
ทั่วประเทศ,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
17,0105559043736,บจ.มิสเตอร์พิซซ่า (ไทยแลนด์) จำกัด,14/3/2559," 70,000,000 ",56101,ประกอบกิจผลิตอาหารประเภทพิซซ่า อาหารสไตล์เกาหลี,199 ชั้น 12A อาคารคอลัมน์ทาวเวอร์ ถนนรัชดาภิเษก  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
18,0105559043400,บจ.พระนคร มอเตอร์ จำกัด,11/3/2559," 50,000,000 ",45101,ประกอบกิจการซื้อ ขาย รถยนต์ ขายปลีก การซ่อมยานยนต์,108 หมู่ที่ 2 ถนนวิภาวดีรังสิต  แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900
19,0105559044775,บจ.แสงชัยอีควิพเม้นท์ (1984) จำกัด,15/3/2559," 50,000,000 ",46599,ประกอบกิจการธุรกิจจำหน่ายอะไหล่และอุปกรณ์เครื่องทำความเย็น,283 ถนนหลานหลวง  แขวงวัดโสมนัส เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100
20,0105559053812,บจ.โมเดิร์น ลาเท็กซ์ (ไทยแลนด์) จำกัด,30/3/2559," 50,000,000 ",46494,กิจการค้า จำหน่าย ซื้อ ผลิต  ที่นอน หมอน เครื่องนอน,79/150 ซอยรามคำแหง 76  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
21,0105559053901,บจ.รักษาความปลอดภัย สยาม แอดมินนิสเทรทีฟ แมเนจเม้นท์ จำกัด,30/3/2559," 50,000,000 ",80100,ประกอบกิจการบริการรักษาความปลอดภัย,313 ซอยรามคำแหง 21 (นวศรี)  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310
22,0105559046638,บจ.ทับทิมศิลา จำกัด,18/3/2559," 50,000,000 ",08103,โรงโม่หิน,45/8-9 ถนนเศรษฐศิริ  แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400
23,0105559036331,บจ.เอ็มจี กรุงเทพ จำกัด,1/3/2559," 45,000,000 ",45101,การขายส่ง ขายปลีก ซ่อมแซม ยานยนต์และจักรยานยนต์,89 หมู่ที่ 8 ถนนสุวินทวงศ์  แขวงโคกแฝด เขตหนองจอก กรุงเทพมหานคร 10530
24,0105559040982,บจ.แพนดอร่า เกมส์ จำกัด,9/3/2559," 36,000,000 ",58202,ประกอบกิจการพัฒนาแอพพลิเคชั่น ดิจิตอลซอฟต์แวร์ ซอฟต์แวร์บันเทิง,1 อาคารเอ็มไพร์ ทาวเวอร์ ชั้นที่ 47 ห้องเลขที่ 4703 ถนนสาทรใต้  แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120
25,0105559037019,บจ.ฟิฟธ์ อะเวนิว โฮลดิ้ง จำกัด,2/3/2559," 30,000,000 ",68101,การซื้อและการขายอสังหาริมทรัพย์ที่เป็นของตนเองเพื่อการพักอาศัย,135 ถนนวานิช 1  แขวงจักรวรรดิ เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100
26,0105559046514,บจ.ซิมเปิล ดีเวลลอปเม้นท์ จำกัด,17/3/2559," 30,000,000 ",46639,ประกอบกิจการจำหน่ายวัสดุ รับเหมาก่อสร้าง งานวิศวกรรมและงานสถาปัตยกรรม,1079/43 ถนนบางขุนเทียน-ชายทะเล  แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150
27,0105559053405,บจ.เทรเชอร์ โอเอซิส (ประเทศไทย) จำกัด,29/3/2559," 25,000,000 ",68201,ซื้อ ขาย นายหน้า สังหาริมทรัพย์ อสังหาริมทรัพย์,308 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
28,0105559052654,บจ.ทีซีซี แมเนจเมนท์ จำกัด,28/3/2559," 25,000,000 ",70209,ประกอบกิจการเป็นที่ปรึกษาและให้คำแนะนำปัญหาเกี่ยวกับด้านบริหารงานพาณิชยกรรม อุตสาหกรรม,87/2 อาคารซีอาร์ซี ทาวเวอร์ ชั้นที่ 45 ออลซีซั่นส์เพลส ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
29,0105559036373,บจ.ลินดี้ ดี. เทคโนโลยี จำกัด,1/3/2559," 20,000,000 ",58202,ประกอบกิจการเครือข่ายข่าวการวิจัยเทคโนโลยี การพัฒนาซอฟต์แวร์ บริการทางเทคนิค ออกแบบเว็บไซต์ กราฟฟิก,79/185 ซอยสุขุมวิท 46  แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110
30,0105559047481,บจ.ดีซี ควอลิตี้ จำกัด,18/3/2559," 20,000,000 ",68102,ประกอบกิจการค้าและพัฒนาที่ดิน อสังหาริมทรัพย์,10/14 ถนนเย็นอากาศ  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120
31,0105559050830,บจ.เคพี สตีล จำกัด,24/3/2559," 20,000,000 ",46622,จำหน่ายแหล็กรูปพรรณ,98/21 ถนนอ่อนนุช  แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250
32,0105559051739,บจ.หนี่ห่าว เอ็ดดูเคชั่น เซอร์วิส จำกัด,25/3/2559," 20,000,000 ",85211,ประกอบกิจการโรงเรียน (เมื่อได้รับอนุญาตจากหน่วยง่นที่เกี่ยวข้องแล้ว),8 ซอยศรีนครินทร์ 62 ถนนศรีนครินทร์  แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250
33,0105559042799,บจ.จงเทียน อินดัสเทรียล โฮลดิ้งส์ (ประเทศไทย) จำกัด,11/3/2559," 20,000,000 ",64201,เข้าเป็นส่วนกำจัดรับผิดในห้างหุ้นส่วนจำกัด และเป็นผู้ถือหุ้นในบริษัทจำกัด หรือมหาชน,6 ซอยวชิรธรรมสาธิต 55 ถนนสุขุมวิท 101/1  แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260
34,0105559037370,บจ.เจ้าพระยาท่าเรือพัฒนา จำกัด,3/3/2559," 20,000,000 ",50219,ประกอบกิจการ ก่อตั้งเปิดสายการเดินเรือ ให้บริการขนส่ง คนโดยสารและสินค้า,208 อาคาร208 วายเลสโร้ด ชั้นที่ 8 ยูนิต 801 ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
35,0105559052590,บจ.น นน เอ็นเตอร์ไพรส์ จำกัด,28/3/2559," 20,000,000 ",46612,ประกอบกิจการค้า และขนส่งน้ำมันเชื้อเพลิงทุกชนิด รวมทั้งการนำเข้า ส่งออก,7 ถนนแฮปปี้เพลส  แขวงคลองสามประเวศ เขตลาดกระบัง กรุงเทพมหานคร 10520
36,0105559047103,บจ.ช้างไทย เทคโนโลยี จำกัด,18/3/2559," 15,000,000 ",46105,นำเข้าส่งออก ผลิตเครื่องจักรอุตสาหกรรม เครื่องยนต์ เครื่องมือกล เครื่องทุ่นแรง ยานพาหนะรวมทั้งอะไหล่,8/10 ถนนไทยรามัญ  แขวงสามวาตะวันตก เขตคลองสามวา กรุงเทพมหานคร 10510
37,0105559039411,บจ.ว.วิโรจน์ พัฒนกิจ (1989) จำกัด,7/3/2559," 14,250,000 ",68104,การให้เช่า การขาย การซื้อและดำเนินงานด้านอสังหาริมทรัพย์,89 ซอยรัชฏภัณฑ์ ถนนราชปรารภ  แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร 10400
38,0105559036969,บจ.เท็กซ์ทีล่า แมนนูแฟคเจอริ่ง จำกัด,2/3/2559," 10,000,000 ",13122,ประกอบกิจการ โรงงานทอผ้า,430 ซอยจรัญสนิทวงศ์ 1 ถนนจรัญสนิทวงศ์  แขวงวัดท่าพระ เขตบางกอกใหญ่ กรุงเทพมหานคร 10600
39,0105559039461,บจ.ซีเอ็มที ออโตโมทีฟ จำกัด,7/3/2559," 10,000,000 ",46691,ผลิต จำหน่าย และส่งออก สารเคมีเพื่อใช้สำหรับอุตสาหกรรม,246 อาคารไทมส์ สแควร์ ห้องเลขที่ 15-01 ถนนสุขุมวิท  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
40,0105559040494,บจ.ที.เอช.เอ็ม.(ไทยแลนด์) จำกัด,8/3/2559," 10,000,000 ",55101,ประกบอกิจการโรงแรม คอนโด ที่พัก อพาร์ทเม้นท์ แมนชั่น ภัตตาคาร บาร์ ไนท์คลับ,204/8-9 ซอยสุขุมวิท 77 (อ่อนนุช 1)  แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
41,0105559044341,บจ.พาซิวา เอ็นเตอร์ไพร้ซ จำกัด,14/3/2559," 10,000,000 ",58202,ประกอบกิจการผลิตซอฟแวร์สำหรับธุรกิจแฟชั่นเพื่อการจำหน่าย,4366/1-6 อาคารมณฑา ถนนพระรามที่ 4  แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110
42,0105559044589,บจ.ทามุระโคมะ (ไทยแลนด์) จำกัด,15/3/2559," 10,000,000 ",46599,กิจการจัดซื้อ จำหน่าย นำเข้า ส่งออก ชิ้นส่วนเครื่องใช้ไฟฟ้า อุปกรณ์ไฟฟ้า วัตถุดิบ เส้นใย,689 อาคารภิรัชทาวเวอร์ แอท เอ็มควอเทียร์ ยูนิต 2307 ชั้น 23 ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
43,0105559053626,บจ.มาเอดะ เอ็นเตอร์ไพร์ส (ประเทศไทย) จำกัด,29/3/2559," 10,000,000 ",46599,ประกอบกิจการค้า วัสดุ อุปกรณ์ไฟฟ้า วัตถุดิบสำหรับผลิตในอุตสาหกรรมเครื่องใช้ไฟฟ้า,2 อาคารจัสมิน ซิตี้ ชั้นที่ 12 ซอยประสานมิตร (สุขุมวิท 23) ถนนสุขุมวิท  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
44,0105559054631,บจ.ทีแอนด์จี เซาท์ อีสต์ เอเชีย จำกัด,31/3/2559," 10,000,000 ",46313,ประกอบกิจการค้าส่งผลไม้นำเข้าจากต่างประเทศ,179/74-80 อาคารบางกอกซิตี้ทาวเวอร์ ชั้น 15 ถนนสาทรใต้  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120
45,0105559038180,บจ.อินเตอร์พาวเวอร์ 2016 จำกัด,4/3/2559," 10,000,000 ",46612,จำหน่ายน้ำมันเชื้อเพลิง,52 ถนนท่าข้าม  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
46,0105559038724,บจ.เวิลด์ 2015 จำกัด,4/3/2559," 10,000,000 ",90002,ประกอบกิจการจัดประกวดสาวงามเพื่อหาตัวแทนสาวไทยไปประกวดต่างประเทศ รับสอนการพัฒนาบุคลิกภาพ,8 ซอยสุคนธสวัสดิ์ 17  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
47,0105559052581,บจ.โอะคะดะ ดีเอส เอเชีย จำกัด,28/3/2559," 10,000,000 ",46109,นำเข้าส่งออก จัดหาจัดซื้อ จำหน่าย วัตถุดิบ วัสดุ ชิ้นส่วนส่วนประกอบและผลิตภัณฑ์ที่ใช้ในอุตสาหกรรม,909 อาคารแอมเพิล ทาวเวอร์ ชั้น 8 ยูนิต 8/1 ถนนบางนา-ตราด  แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260
48,0105559036624,บจ.สิงห์คอม อินเตอร์ กรุ๊ป จำกัด,2/3/2559," 10,000,000 ",46522,จัดจำหน่าย ติดตั้ง วางระบบ เครื่องมือ อุปกรณ์และอะไหล่ที่เกี่ยวกับโทรศัพท์เคลื่อนที่่และโทรคมนาคม,23/106-108 ซอยศูนย์วิจัย ถนนพระราม 9  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310
49,0105559053103,บจ.ไทย คาลิ (2016) จำกัด,29/3/2559," 10,000,000 ",09900,ประกอบกิจการสำรวจและตรวจหาแร่ทุกชนิด รวมทั้งโพแทช โดยการเจาะหรือขุด,589/1 ซอยรามคำแหง 39 (เทพลีลา 1)  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310
50,0105559043418,บจ.เนเชอรัล เบฟ จำกัด,11/3/2559," 10,000,000 ",10303,"ผลิต จัดจำหน่ายน้ำผักและผลไม้พร้อมดื่ม,น้ำผักและผลไม้สกัดเข้มข้น,ผลไม้อบแห้ง",87/2 อาคารซีอาร์ซีทาวเวอร์ ออลซีซั่นส์เพลส ชั้นที่ 51 ยูนิต 2-4 ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
51,0105559051836,บจ.ซันเพลย์ วิลล่า ดีเวลอปเมนท์ จำกัด,25/3/2559," 10,000,000 ",68101,การซื้อและการขายอสังหาริมทรัพย์ที่เป็นของตนเอง เพื่อการพักอาศัย,19/2 อาคารสิทธาคาร ชั้น 3 ซอยชิดลม  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
52,0105559043370,บจ.24 เทอมินอล จำกัด,11/3/2559," 10,000,000 ",68102,ค้าที่ดิน สิ่งปลูกสร้าง,566/14 ถนนพระรามที่ 4  แขวงมหาพฤฒาราม เขตบางรัก กรุงเทพมหานคร 10500
53,0105559043531,บจ.เวลท์ รีพับบลิค จำกัด,11/3/2559," 10,000,000 ",70209,บริหารการขายและการตลาด จัดกิจกรรมทางการตลาด,942/81 อาคารชาญอิสสระทาวเวอร์ 1 ชั้น 2 ถนนพระรามที่ 4  แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500
54,0105559048967,บจ.ลาวา อินเตอร์เนชั่นแนล (ประเทศไทย) จำกัด,22/3/2559," 9,000,000 ",62012,ประกอบกิจการ ออกแบบ พัฒนาและให้คำปรึกษาเกี่ยวกับซอฟต์แวร์ นำเข้าอะไหล่ ให้บริการหลังการขาย,33/4 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
55,0105559050848,บจ.สเกาท์ เอาท์ จำกัด,24/3/2559," 8,000,000 ",63113,ประกอบกิจการบริการเป็นตลาดกลางในการซื้อขายสินค้าหรือบริการ,597/5 ถนนสุขุมวิท ชั้น 2 ห้อง 204  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
56,0105559054916,บจ.มุงเกอร์ แมชชีน ทูล (ไทยแลนด์) จำกัด,31/3/2559," 8,000,000 ",46599,จำหน่าย ขายปลีก นำเข้าเครื่องจักรที่ความแม่นยำสูงแบบควบคุมด้วยมือและควบคุมด้วยคอมพิวเตอร์,3789/1 ห้อง 2301 เอ ถนนพระราม 4  แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110
57,0105559054703,บจ.นันทวัตรฮีโม จำกัด,31/3/2559," 8,000,000 ",86101,ประกอบกิจการสถานพยาบาลศูนย์ไตเทียม ให้บริการฟอกเลือดด้วยเครื่องไตเทียม,"76/87,89,91 ถนนแจ้งวัฒนะ  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220"
58,0105559039046,บจ.นอร์ดิค ซอฟต์แวร์ จำกัด,4/3/2559," 6,000,000 ",62022,การให้คำปรึกษาทางด้านซอฟต์แวร์ การช่วยเหลือลูกค้าในการใช้งานหรือแก้ปัญหาด้านซอฟต์แวร์,142 อาคารทูแปซิฟิค เพลส ชั้นที่ 23 ห้องเลขที่ 2301 ถนนสุขุมวิท  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
59,0105559035709,บจ.โคชิดะ วีฮิเคิล รีเทลลิ่ง (ประเทศไทย) จำกัด,1/3/2559," 6,000,000 ",45301,ขายส่งและขายปลีกชิ้นส่วนและอุปกรณ์ตกแต่งยานพาหนะ ซ่อมแซม ตกแต่ง และบำรุงรักษา,729/170 ถนนรัชดาภิเษก  แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร 10120
60,0105559054151,บจ.ทริปเปิ้ลพี เรสซิเดนซ์ จำกัด,30/3/2559," 6,000,000 ",68103,ประกอบกิจการอพาร์ทเมนท์ให้เช่า,1147/1 ซอยสุทธิพร ถนนรัชดาภิเษก  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400
61,0105559049211,บจ.พีแอนด์ไอ อินฟอร์เมชั่น เอ็นจิเนียริ่ง (ประเทศไทย) จำกัด,22/3/2559," 5,500,000 ",58202,ประกอบกิจการผลิต จำหน่าย พัฒนา บำรุงรักษา ซอฟแวร์ และบริการให้ข้อมูลเกี่ยวกับผลิตภัณฑ์,952 อาคารรามาแลนด์ ชั้น 13 ถนนพระราม 4  แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500
62,0105559044139,บจ.เอพี แอดแวนเทรด จำกัด,14/3/2559," 5,000,000 ",46510,ประกอบกิจการขายคอมพิวเตอร์ อุปกรณ์ต่อพ่วงคอมพิวเตอร์และซอฟแวร์,86/1 ชั้น 14 โซนบี อาคารไทยวีรวัฒน์ ถนนกรุงธนบุรี  แขวงบางลำภูล่าง เขตคลองสาน กรุงเทพมหานคร 10600
63,0105559047642,บจ.คอสซูติค อินโนเวชั่น แลบอราทอรี่ส์ จำกัด,18/3/2559," 5,000,000 ",20232,ประกอบกิจการและผลิต จำหน่าย เครื่องสำอางค์ เวชสำอางค์ ทุกชนิด ยาสมุนไพร,88/14 ซอยเทอดไทย33  แขวงดาวคะนอง เขตธนบุรี กรุงเทพมหานคร 10600
64,0105559037388,บจ.ซีเจ เมเจอร์ เอ็นเตอร์เทนเม้นท์ จำกัด,3/3/2559," 5,000,000 ",46432,ประกอบกิจการจัดสร้างและจำหน่ายภาพยนต์ทั้งในประเทศและต่างประเทศ,1839 ถนนพหลโยธิน  แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900
65,0105559047235,บจ.ซุปเปอร์ริช มันนี เอ็กซ์เชนจ์ วิภาวดี 22 จำกัด,18/3/2559," 5,000,000 ",66123,ประกอบกิจการซื้อ ขาย และแลกเปลี่ยนเงินตราต่างประเทศ,18/34 ซอยทองหล่อ  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900
66,0105559050279,บจ.ก้อยเกี่ยว จำกัด,23/3/2559," 5,000,000 ",46319,ประกอบกิจการค้า การตลาด การขาย การจำหน่าย อาหาร สุรา เบียร์ เครื่องดื่มทุกประเภท,14 อาคารแสงโสม ถนนวิภาวดีรังสิต  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900
67,0105559054606,บจ.พรหมลิขิต กรุ๊ป จำกัด,31/3/2559," 5,000,000 ",93112,ประกอบกิจการสนามแบตมินตัน,44 ซอยศรีธรรมาธิราช  แขวงป้อมปราบ เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100
68,0105559035989,บจ.เอ็นพีที เชน โซลูชั่น จำกัด,1/3/2559," 5,000,000 ",52109,ประกอบกิจการคลังสินค้า,135 ถนนอาจณรงค์  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
69,0105559036292,บจ.แอมเบอร์ สตาร์ เทคโนโลยี จำกัด,1/3/2559," 5,000,000 ",58202,ประกอบกิจการเครือข่ายการวิจัยเทคโนโลยี การพัฒนาซอฟต์แวร์ บริการเทคนิค การถ่ายทอดเทคโนโลยี,79/185 ซอยสุขุมวิท 46  แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110
70,0105559036781,บจ.สยามเรเนซองส์ แอสเสท จำกัด,2/3/2559," 5,000,000 ",68103,ประกอบกิจการให้บริการเช่าห้องพัก ห้องประชุม อาคารที่พักอาศัย สถานที่พักผ่อน,3354/45 อาคารมโนรม ชั้น 14 ถนนพระราม 4  แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110
71,0105559044813,บจ.โกลเดน ไอดีอี เทคโนโลยี จำกัด,15/3/2559," 5,000,000 ",58202,ประกอบกิจการเครือข่ายการวิจัยเทคโนโลยี การพัฒนาซอฟแวร์,79/185 ซอยสุขุมวิท 46  แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110
72,0105559045500,บจ.ยานน่า แอล. เทคโนโลยี จำกัด,16/3/2559," 5,000,000 ",62012,ประกอบกิจการเครือข่ายการวิจัยเทคโนโลยี การพัฒนาซอฟต์แวร์,79/185 ซอยสุขุมวิท 46  แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110
73,0105559051879,บจ.โกลบอล ไทย ดีโป จำกัด,25/3/2559," 5,000,000 ",46591,ประกอบกิจการซื้อขายเรือ กิจการเรือลากจูง เรือโดยสาร,571 อาคารเอ็มเอสซี ชั้น 1-2 ถนนสุขุมวิท 71  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
