นิติบุคคลจัดตั้งเดือนพฤษภาคม  2559,,,,,,,
ทั่วประเทศ,,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
11,0105559079421,บจ.ไทยหลาย อินเตอร์เนชั่นแนล (ประเทศไทย) จำกัด,24/5/2559," 100,000,000 ",47732,ประกอบกิจการค้าปลีกเครื่องประดับเพชรพลอยแฟชั่น ของชำร่วย,1729 ซอยลาดพร้าว 94 (ปัญจมิตร) ถนนศรีวรา  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
12,0105559081701,บจ.เอ็นอีซี แคปิตอล โซลูชั่นส์ (ไทยแลนด์) จำกัด,30/5/2559," 60,000,000 ",64929,การให้สินเชื่อประเภทอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,159/37 อาคารเสริมมิตร ทาวเวอร์ ชั้น 23 ถนนสุขุมวิท 21 (อโศก)  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
13,0105559071144,บจ.ทรัสตี้บาย จำกัด,4/5/2559," 50,000,000 ",46322,ประกอบกิจการค้า เครื่องดื่ม น้ำผลไม้ และเครื่องบริโภคอื่น,218 ถนนสิรินธร  แขวงบางพลัด เขตบางพลัด กรุงเทพมหานคร 10700
14,0105559073457,บจ.ดีวาลักซ์ รีสอร์ทแอนด์สปา จำกัด,12/5/2559," 50,000,000 ",55101,ประกอบกิจการโรงแรม,4796 ถนนพระรามที่ 4  แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110
15,0105559075441,บจ.เรดดี้ทูรี๊ด จำกัด,17/5/2559," 50,000,000 ",46431,นำเข้า สื่อพิมพ์ หนังสือ อุปกรณ์การเรียน,53 ชั้นที่ 6 ซอยร่วมฤดี ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
16,0105559071861,บจ.คูณชัยชนะ จำกัด,10/5/2559," 50,000,000 ",68102,ประกอบกิจการขาย เช่า ให้เช่า จำนำ จำนองทรัพย์สินของบริษัท ทำการค้าที่ดินอาคาร,3 ซอยรามคำแหง 170 แยก 5 ถนนรามคำแหง  แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510
17,0105559073121,บจ.เอส.เค.พี.แมนชั่น รามอินทรา 109 จำกัด,12/5/2559," 50,000,000 ",68103,ให้บริการเช่าห้องพักพร้อมสาธารณูปโภคต่างๆ ประเภทรายวันและรายเดือน,73-74 หมู่ที่ 5 ถนนพระยาสุเรนทร์  แขวงบางชัน เขตคลองสามวา กรุงเทพมหานคร 10510
18,0105559076910,บจ.ซีอินสไพร์ จำกัด,19/5/2559," 45,000,000 ",46522,สังซื้อและจำหน่าย ให้บริการซ่อมแซม ติดตั้ง อุปกรณ์โทรคมนาคม อุปกรณ์คอมพิวเตอร์,1999/12 ซอยลาดพร้าว 94 (ปัญจมิตร)  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
19,0105559070334,บจ.อัครา-ไอเซ จำกัด,3/5/2559," 30,000,000 ",01499,ประกอบกิจการเลี้ยงสัตว์ และกิจการคอกปศุสัตว์,22 ชั้น 3 ห้อง 3/6 ซอยสุขุมวิท 35 ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
20,0105559074623,บจ.ไทย บิโบะ จำกัด,16/5/2559," 28,000,000 ",70209,บริการรับเป็นที่ปรึกษาและให้คำแนะนำ เกี่ยวกับ ด้านการขยายตลาด ด้านสนับสนุนการดำเนินธุรกิจ,24 อาคารไพร์ม บิลดิ้ง ชั้นที่ 12 ห้องเลขที่ เอ ถนนสุขุมวิท 21 (อโศก)  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
21,0105559073953,บจ.เอ็นคอร์ วิชันส์ จำกัด,13/5/2559," 25,000,000 ",68102,ให้บริการซื้อ-ขาย เป็นนายหน้าที่ดิน บ้านจัดสรร รวมถึงสังหาริมทรัพย์และอสังหาริมทรัพย์ทุกประเภท,308 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
22,0105559079072,บจ.ทีพีซีเอช เพาเวอร์ 2 จำกัด,24/5/2559," 20,000,000 ",10419,โรงงานสกัดน้ำมันปาล์ม,"2,4 ซอยประเสริฐมนูกิจ 29 แยก 8 ถนนประเสริฐมนูกิจ  แขวงจรเข้บัว เขตลาดพร้าว กรุงเทพมหานคร 10230"
23,0105559079099,บจ.ทีพีซีเอช เพาเวอร์ 1 จำกัด,24/5/2559," 20,000,000 ",10419,โรงงานสกัดน้ำมันปาล์ม,"2,4 ซอยประเสริฐมนูกิจ 29 แยก 8 ถนนประเสริฐมนูกิจ  แขวงจรเข้บัว เขตลาดพร้าว กรุงเทพมหานคร 10230"
24,0105559079315,บจ.ทีพีซีเอช เพาเวอร์ 3 จำกัด,24/5/2559," 20,000,000 ",10419,โรงงานสกัดน้ำมันปาล์ม,"2,4 ซอยประเสริฐมนูกิจ 29 แยก 8 ถนนประเสริฐมนูกิจ  แขวงจรเข้บัว เขตลาดพร้าว กรุงเทพมหานคร 10230"
25,0105559079340,บจ.ทีพีซีเอช เพาเวอร์ 4 จำกัด,24/5/2559," 20,000,000 ",10419,โรงงานสกัดน้ำมันปาล์ม,"2,4 ซอยประเสริฐมนูกิจ 29 แยก 8 ถนนประเสริฐมนูกิจ  แขวงจรเข้บัว เขตลาดพร้าว กรุงเทพมหานคร 10230"
26,0105559082065,บจ.ทีพีซีเอช เพาเวอร์ 5 จำกัด,30/5/2559," 20,000,000 ",10420,โรงงานสกัดน้ำมันปาล์ม,"2,4 ซอยประเสริฐมนูกิจ 29 แยก 8 ถนนประเสริฐมนูกิจ  แขวงจรเข้บัว เขตลาดพร้าว กรุงเทพมหานคร 10230"
27,0105559081531,บจ.ภูเก็ต ดีพ ซี พอร์ต จำกัด,30/5/2559," 20,000,000 ",49323,ประกอบกิจการก่อตั้งเปิดสายเดินเรือ ให้บริการขนส่งคนโดยสาร และสินค้า,208 อาคาร208 วายเลสโร้ด ชั้นที่ 8 ยูนิต 801 ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
28,0105559072566,บจ.ทรานคอม ทรานสปอร์ต (ประเทศไทย) จำกัด,11/5/2559," 16,000,000 ",58202,ผลิต บริหารการค้า ตรวจสอบคุณภาพ บรรจุภัณฑ์ พัฒนาระบบคอมพิวเตอร์ซอฟท์แวร์,159/18 อาคารเสริมมิตร ทาวเวอร์ ยูนิต 1102/5 ชั้นที่ 11 ถนนสุขุมวิท 21 (อโศก)  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
29,0105559080640,บจ.อีสท์ แคปปิทอล อินเตอร์เนชั่นแนล จำกัด,26/5/2559," 15,000,000 ",55101,โรงแรม ที่พักอาศัย รีสอร์ อสังหาริมทรัพย์,8/1 ซอยจรัญสนิทวงศ์ 52 ถนนจรัญสนิทวงศ์  แขวงบางยี่ขัน เขตบางพลัด กรุงเทพมหานคร 10700
30,0105559079579,บจ.บางกอก รีเทล โฮลดิ้งส์ จำกัด,25/5/2559," 14,908,000 ",64202,เข้าเป็นหุ้นส่วนจำพวกจำกัดความรับผิดในห้างหุ้นส่วนจำกัด เข้าเป็นผู้ถือหุ้นในบริษัทเอกชนบริษัทมหาชน,57 อาคารปาร์คเวนเชอร์ อีโคเพล็กซ์ ชั้น 18 ยูนิต 1832แซด ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
31,0105559078351,บจ.102 เรสซิเดนซ์ จำกัด,23/5/2559," 10,000,000 ",68102,ประกอบกิจการพัฒนาอสังหาริมทรัพย์ทุกชนิด,2 อาคารเพลินจิตเซ็นเตอร์ ชั้น 17 ห้อง 17-เอ ถนนสุขุมวิท  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
32,0105559080836,บจ.เอชที กูดส์ แลนด์ จำกัด,27/5/2559," 10,000,000 ",68102,ประกอบกิจการซื้อ การขาย และการพัฒนาอสังหาริมทรัพย์,88/115 หมู่บ้านกรานต์วดี ถนนพุทธมณฑลสาย 3  แขวงบางไผ่ เขตบางแค กรุงเทพมหานคร 10160
33,0105559068984,บจ.คาเมย์แพค อินเตอร์เนชั่นแนล จำกัด,2/5/2559," 10,000,000 ",18112,ประกอบกิจารรับจ้าง พิมพ์สลากติดบนกล่องบรรจุภัณฑ์ ของสินค้าทุกประเภท,420/15 ถนนกาญจนาภิเษก  แขวงดอกไม้ เขตประเวศ กรุงเทพมหานคร 10250
34,0105559073325,บจ.กู๊ดวู๊ด ออโตโมบิล จำกัด,12/5/2559," 10,000,000 ",45101,ประกอบกิจการค้า รถยนต์ใหม่ รถยนต์เก่า ยานพาหนะ,1386 ถนนรามคำแหง  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
35,0105559078220,บจ.สกายวิว โฮลดิ้งส์ จำกัด,23/5/2559," 10,000,000 ",64202,เข้าเป็นหุ้นส่วนจำกัดความรับผิดในห้างหุ้นส่วนและเป็นผู้ถือหุ้นในบริษัทจำกัดและบริษัทมหาชนจำกัด,899/63 เนอวานา บียอนด์ 2 ถนนพระราม 9  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
36,0105559070318,บจ.ชาญอิสสระ รีท แมเนจเมนท์ จำกัด,3/5/2559," 10,000,000 ",64302,ประกอบธุรกิจเป็นผู้จัดการกองทรัสต์เพื่อการลงทุน,2922/200 อาคารชาญอิสสระทาวเวอร์ 2 ชั้น 10 ถนนเพชรบุรีตัดใหม่  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310
37,0105559071021,บจ.เฮนเอล จำกัด,4/5/2559," 10,000,000 ",46599,ประกอบกิจการนำ ขายปลีก ขายส่ง อุปกรณ์ต่างๆที่ใช้สำหรับโรงงานไฟฟ้า,98/65 ซอยรามคำแหง 39 (เทพลีลา1)  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
38,0105559073694,บจ.เวิลด์ อินเนอร์ สเปซ จำกัด,13/5/2559," 10,000,000 ",41001,ก่อสร้างที่พักอาศัย,184/233 อาคารฟอรั่ม ชั้น 33 ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
39,0105559074259,บจ.ออพเท็ค (ประเทศไทย) จำกัด,16/5/2559," 10,000,000 ",46109,ประกอบกิจการนำเข้า ส่งออก จัดซื้อจัดหา และจำหน่ายสินค้า วัตถุดิบและชิ้นส่วนสำหรับอุตสาหกรรมต่างๆ,90 อาคารไซเบอร์เวิร์ลด ทาวเวอร์ (ทาวเวอร์ บี) ยูนิต บี1702 ชั้นที่ 17 ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
40,0105559075115,บจ.3บี ไซเอนทิฟิค (เซาท์อีสท์เอเชีย) จำกัด,17/5/2559," 10,000,000 ",46441,นำเข้า และจำหน่ายผลิตภัณฑ์เกี่ยวกับการฝังเข็ม อุปกรณ์การรักษา อุปกรณ์การเรียน,65/62 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
41,0105559075191,บจ.อินโน พร๊อพเพอร์ตี้ จำกัด,17/5/2559," 10,000,000 ",41001,การก่อสร้างที่พักอาศัย กิจการบริหารอื่นๆที่เกี่ยวกับอสังหาริมทรัพย์,184/233 อาคารฟอรั่ม ชั้น 33 ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
42,0105559076359,บจ.มาสเตอร์ วีท จำกัด,18/5/2559," 10,000,000 ",10711,ประกอบกิจการโรงงานผลิตขนมปังและผลิตภัณฑ์เบเกอรี่ ทุกชนิด,59 ซอยรัชดาภิเษก 18  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
43,0105559078475,บจ.เอฟแอล สมิดธ์ (ประเทศไทย) จำกัด,23/5/2559," 8,000,000 ",70209,การให้คำปรึกษาแนะนำและช่วยเหลือในการดำเนินการเกี่ยวกับการบริหารงาน กลยุทธ์ทางการตลาดและการขาย,141 อาคารเมเจอร์ ทาวเวอร์ ชั้น 7 ห้องเลขที่ 703-704 ซอยสุขุมวิท 63 (เอกมัย) ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
44,0105559074739,บจ.ชัชชัย เทรลเลอร์ ทรานสปอร์ต จำกัด,16/5/2559," 8,000,000 ",49339,ขอส่งสินค้าประเภทเคมีภัณฑ์,369 ประชาอุทิศ 76  แขวงทุ่งครุ เขตทุ่งครุ กรุงเทพมหานคร 10140
45,0105559073244,บจ.ออกุร่า อินคอร์ปอเรชั่น จำกัด,12/5/2559," 7,500,000 ",47912,ขายสินค้าและให้บริการผ่านเครือข่ายคอมพิวเตอร์,351/53 ถนนพระราม 9  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310
46,0105559075239,บจ.ตรงรัตนวงศ์ จำกัด,17/5/2559," 6,000,000 ",55101,ประกอบกิจการโรงแรม ภัตตาคาร ร้านอาหาร ร้านกาแฟ,16 ซอยพระรามที่ 2 ซอย 21  แขวงบางมด เขตจอมทอง กรุงเทพมหานคร 10150
47,0105559072531,บจ.เคทูดี คอร์ปอเรชั่น จำกัด,11/5/2559," 5,000,000 ",46522,ประกอบกิจการค้าโทรศัพท์มือถือ คอมพิวเตอร์พกพา รวมทั้งอะไหล่และอุปกรณ์ทุกชนิด,20/3 ซอยเทอดไทย 23  แขวงบุคคโล เขตธนบุรี กรุงเทพมหานคร 10600
48,0105559075689,บจ.108ลีลาการประมง จำกัด,18/5/2559," 5,000,000 ",46693,กิจการค้าพลาสติก หรือลักษณะคล้ายคลึงกัน,180 ซอยเจริญนคร 10 ถนนเจริญนคร  แขวงคลองต้นไทร เขตคลองสาน กรุงเทพมหานคร 10600
49,0105559069182,บจ.เอ็น เอส เวิลด์ฟู้ดส์ จำกัด,2/5/2559," 5,000,000 ",46900,ประกอบกิจการให้บริการด้านอาหาร และสินค้าอุปโภค บริโภค,46 ถนนสิรินธร  แขวงบางพลัด เขตบางพลัด กรุงเทพมหานคร 10700
50,0105559069344,บจ.เอ็มจี ธนบุรี จำกัด,2/5/2559," 5,000,000 ",45101,ประกอบกิจการซื้อ-ขายรถยนต์,"152,154,164 ถนนสิรินธร  แขวงบางพลัด เขตบางพลัด กรุงเทพมหานคร 10700"
51,0105559075697,บจ.พัทยา ต้าซื่อเจี้ย จำกัด,18/5/2559," 5,000,000 ",55101,โรงแรม ภัตาคาร,342/2 ซอยเสือใหญ่อุทิศ  แขวงจันทรเกษม เขตจตุจักร กรุงเทพมหานคร 10900
52,0105559075841,บจ.ไอ สมาร์ท คอร์ปอเรชั่น จำกัด,18/5/2559," 5,000,000 ",46510,ประกอบกิจการขายส่งคอมพิวเตอร์ซอฟแวร์ และเครื่องมือสื่อสาร,10/22 ชั้นที่ 3 ซอยประวิทย์และเพื่อน  แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900
53,0105559076847,บจ.ฮอลแลนด์ โฮม แอนด์ รีสอร์ท จำกัด,19/5/2559," 5,000,000 ",41001,การก่อสร้างอาคารที่เป็นที่พักอาศัยทุกประเภท บ้านเดี่ยว อาคารอาศัยรวมอาคารสูง,342/2 ซอยเสือใหญ่อุทิศ  แขวงจันทรเกษม เขตจตุจักร กรุงเทพมหานคร 10900
54,0105559077070,บจ.วาวา พร็อพเพอร์ตี้ จำกัด,19/5/2559," 5,000,000 ",68103,ประกอบกิจการอพาร์ทเมนท์ และให้บริการสาธารณูปโภคทุกชนิด,406 ซอยเสือใหญ่อุทิศ  แขวงจันทรเกษม เขตจตุจักร กรุงเทพมหานคร 10900
55,0105559081981,บจ.เอชพีเอส เทรด จำกัด,30/5/2559," 5,000,000 ",46109,ประกอบกิจการ นำเข้า-ส่งออก สินค้าอุปโภค บริโภค ระหว่างประเทศทุกชนิด,603 ถนนบำรุงเมือง  แขวงคลองมหานาค เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100
56,0105559070881,บจ.เจียโบรส์ จำกัด,4/5/2559," 5,000,000 ",46900,ประกอบกิจการซื้อมาขายไป สินค้าอุปโภคบริโภค ทุกชนิด,4/36 ซอยสุขุมวิท 33  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
57,0105559071896,บจ.ทัตสึมิ เรสเตอรองท์ จำกัด,10/5/2559," 5,000,000 ",56101,ประกอบกิจการภัตตาคาร,137/3 ถนนสุขุมวิท 21 (อโศก)  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
58,0105559075387,บจ.เอ บิ๊กทรี อิมพอร์ต เอ็กซ์พอร์ต เทรดดิ้ง จำกัด,17/5/2559," 5,000,000 ",46313,ประกอบกิจการนำเข้าส่งออก จำหน่ายส้มและผลไม้อื่นๆ,79/185 ซอยสุขุมวิท 46  แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110
59,0105559075506,บจ.รักษาความปลอดภัย ดี เออีซี จำกัด,17/5/2559," 5,000,000 ",80100,กิจการให้บริการรักษาความปลอดภัยแก่ อาคารสถานที่ บ้านพักอาศํยโรงงานอุตสาหกรรม,92 ซอยสุขุมวิท 39(พร้อมพงษ์)  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
60,0105559071462,บจ.ไทย ออโต้ สมาร์ท ซิสเต็ม จำกัด,10/5/2559," 5,000,000 ",28199,ธุรกิจผลิตพัฒนาขายจำหน่ายนำเข้าค้าปลีกค้าส่งส่งออกวางจำหน่ายเป็นศูนย์กลางค้าขายสินค้าอุตสาหกรรม,2 ถนนนราธิวาสราชนครินทร์  แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120
61,0105559074046,บจ.มอร์ริสัน เอ็กซ์เพรส คอร์ป (ประเทศไทย) จำกัด,13/5/2559," 5,000,000 ",52292,เป็นตัวแทนรับจัดการการขนส่งสินค้าทางอากาศ และทางทะเลระหว่างประเทศ,179/60-62 อาคารบางกอกซิตี้ทาวเวอร์ ชั้น 13 ถนนสาทรใต้  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120
62,0105559074470,บจ.ฟิวเอล แอนด์ ไฟร์ เทรนนิ่ง จำกัด,16/5/2559," 5,000,000 ",96309,ให้บริการซ้อมอพยพหนีไฟและดับเพลิง ฝึกอบรมการปฎิบัติงานในที่อับอาาศ,249 ถนนนิมิตใหม่  แขวงสามวาตะวันออก เขตคลองสามวา กรุงเทพมหานคร 10120
63,0105559074992,บจ.แอสโตร คิวบ์ โลจิสติกส์ (ประเทศไทย) จำกัด,17/5/2559," 5,000,000 ",52292,ประกอบกิจการเป็นตัวแทน ผู้รับจัดการขนส่งสินค้าทั้งทางน้ำ และทางอากาศ ในการจัดหาและจัดการขนส่งสินค้า,731/26 ถนนรัชดาภิเษก  แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร 10120
64,0105559080127,บจ.กิมไป๊ บอทเทิล จำกัด,25/5/2559," 5,000,000 ",22220,ประกอบกิจการผลิตและจำหน่ายขวดทุกชนิด,1741 ถนนจันทน์  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120
65,0105559080224,บจ.โซลาริส แบงคอก จำกัด,26/5/2559," 5,000,000 ",35101,ประกอบกิจการผลิต จำหน่าย ติดตั้ง ดูแล ก่อสร้าง ซ่อมแซม เกี่ยวกับพลังงานไฟฟ้าโซลาเซลล์,1 อาคารเอ็มไพร์ ทาวเวอร์ ชั้น 47 ยูนิต 4703 ห้องริเวอร์ 5/2 ถนนสาทรใต้  แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120
66,0105559081221,บจ.อินดัสเทรียล ไซต์ เซอร์วิสเซส (ประเทศไทย) จำกัด,27/5/2559," 5,000,000 ",28110,ให้บริการออกแบบ ก่อสร้าง ปรับ บำรุงรักษา ซ่อมแซม ตรวจสอบ อุปกรณ์เกี่ยวกับกังหันลม,175 อาคารสาธรซิตี้ ทาวเวอร์ ชั้น 26/1 ถนนสาทรใต้  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120
67,0105559069239,บจ.9945 อิเล็คทริค จำกัด,2/5/2559," 5,000,000 ",46522,ซื้อขาย โทรศัพท์มือถือ วิทยุสื่อสาร กิจการโทรทัศน์และกิจการโทรคมนาคม,289-303 ถนนสุขสวัสดิ์  แขวงราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพมหานคร 10140
68,0105559069174,บจ.ยี่ ฮุย อินเตอร์เนชั่นแนล จำกัด,2/5/2559," 5,000,000 ",46412,ประกอบกิจการ นำเข้า ซื้อขาย ผ้าม่าน ผ้าดิบ ผ้าปูเตียง สิ่งที่เกี่ยวกับผ้าทุกชนิด,194/21 ถนนท่าข้าม  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
69,0105559076707,บจ.ทองไทย อีเล็คทริค จำกัด,19/5/2559," 5,000,000 ",27502,ประกอบกิจการ ผลิต นำเข้า ส่งออก จำหน่าย อุปกรณ์ให้ความร้อนของเครื่องใช้ไฟฟ้า,234/1 ถนนท่าข้าม  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
70,0105559077274,บจ.ไชน่า ไท้ลี่ต๋า คอนสตรัคชั่น กรุ๊ป (ไทยแลนด์) จำกัด,19/5/2559," 5,000,000 ",41002,รับเหมาก่อสร้าง,625/13 ถนนอนามัยงามเจริญ  แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150
71,0105559078602,บจ.เทียนทะเลเมทัลชีท จำกัด,24/5/2559," 5,000,000 ",25113,การผลิตประตู หน้าต่าง กรอบประตู หน้าต่าง ประตูใหญ่ และ ผลิตภัณฑ์ที่คล้ายกันที่ทำจากโลหะ,1021 ถนนบางขุนเทียน-ชายทะเล  แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150
72,0105559078793,บจ.เอบีที พาวเวอร์ โซลูชั่น จำกัด,24/5/2559," 5,000,000 ",46599,ประกอบกิจการนำเข้า ส่งออก จำหน่าย เป็นตัวแทนจำหน่ายผลิตภัณฑ์นาโนเทคโนโลยี,55 ซอยทุ่งมังกร 1 ถนนทุ่งมังกร  แขวงฉิมพลี เขตตลิ่งชัน กรุงเทพมหานคร 10170
73,0105559079013,บจ.ไครโอ สเต็มเซลล์ (ไทยแลนด์) จำกัด,24/5/2559," 5,000,000 ",86909,ให้บริการจัดเก็บเลือดและส่วนประกอบของเลือดใว้ใช้กับผู้ป่วยเองในอนาคต,38 ถนนราชพฤกษ์  แขวงฉิมพลี เขตตลิ่งชัน กรุงเทพมหานคร 10170
74,0105559082529,บจ.เทอเรนส์ กรุ๊ป จำกัด,31/5/2559," 5,000,000 ",70209,ประกอบกิจการให้คำปรึกษาทางธุรกิจและการจัดการ,16/1 หมู่ที่ 6 ถนนบรมราชชนนี 33  แขวงตลิ่งชัน เขตตลิ่งชัน กรุงเทพมหานคร 10170
